GeneID	C1	C2	C3	P1	P2	P3	POE1	POE2	POE3	PDelNOE1	PDelNOE2	PDelNOE3
ENSG00000000460	-0.107325892108578	0.0993112742862505	0.0733083727039573	-0.0163406877909443	0.251569083917838	0.122826306714175	-0.0315760355249133	-0.0517593742499413	0.164908532230456	-0.244358888037744	-0.191601981828494	-0.0689607103120625
ENSG00000001084	-0.0777968675892316	-0.144806548352003	0.0466582644793238	-0.0740364117342359	0.0439300940670542	0.150811826272938	0.0755501298963552	0.124437479930375	-0.125030259191753	-0.136014495698529	0.128959826073487	-0.0126630381537806
ENSG00000001461	-0.0385816372966358	0.0551557334070184	0.138594958462893	-0.209955684825067	-0.254783136341068	0.0572287166162996	-0.108526924526981	0.00867268609366606	0.181261115447769	0.0718155612759878	0.0786838337752271	0.0204347779108912
ENSG00000001629	-0.106683382298467	0.25860601723919	-0.0318231086803762	0.155162119478657	0.553947670362285	0.0513321489942664	-0.110468893874009	-0.145090374546639	0.0416656756776485	-0.25412116904075	-0.232055524175278	-0.180471179136529
ENSG00000003393	-0.111538147430449	0.170148136990458	0.146026043336049	-0.168932000746537	-0.129228323816215	-0.0882836704780567	0.0519855223439006	-0.0222764450209685	0.283689926395619	-0.104499015882845	-0.13240430868274	0.105312282991783
ENSG00000003989	0.10940344828905	0.0695390449429714	0.266495176570461	-0.202494630173917	-0.25799167495618	0.108359214225084	0.19359574465518	0.215480057069217	-0.0528321873049753	-0.311666024267267	0.102915069713227	-0.24080323876285
ENSG00000004455	0.0327596488394825	-0.0437770074017859	-0.0367652422884617	-0.0572356558724285	-0.037305941475122	-0.0572309108530874	0.0410184282553322	-0.135963093649545	0.254235827707903	0.0691730362035573	-0.247263320702862	0.218354231237018
ENSG00000004487	0.112621548816872	-0.00440427703772495	0.222612977250079	-0.295162242396486	-0.496583546542145	-0.0659488151849276	0.0522373465900603	-0.0619767045952591	0.0586526481186846	0.244473723862732	-0.0182013631878142	0.251678704305929
ENSG00000004534	-0.110166827182998	-0.0349342376997041	-0.0583774843225146	-0.0400844955966287	0.175841879750775	0.0314522038916414	-0.147574693227096	-0.107610056761457	0.08521030090242	0.134839614491176	-0.105870022208578	0.177273817962964
ENSG00000004766	-0.139970023919192	0.187728059346387	0.163080710904707	0.024895395023211	0.0454118131150861	-0.155254664266327	-0.127554175228474	0.0303807446734553	0.112388487915767	-0.0868457308954782	0.0180128277865038	-0.0722734444556453
ENSG00000004864	0.00501814917273401	0.225665152333356	0.112560207103898	0.031506644024732	0.0163982671722018	0.0318183706794827	0.220881066147156	-0.204686397378772	0.165640944260545	-0.169939925690042	-0.392550430143678	-0.0423120476816147
ENSG00000004897	-0.187634890103933	-0.114599078528289	-0.00789734005873935	-0.110116659842565	-0.19868185490938	-0.142296848457389	0.309886310845525	-0.00934953149707174	0.185954259895021	0.193449868719729	-0.00602155427229939	0.0873073182093897
ENSG00000005020	0.0654652486430176	-0.14297552002143	0.337323760343203	-0.367632581346889	-0.58244498778979	-0.230193805008477	0.353486230142175	0.368823802560395	0.121625135087072	-0.0884846657581929	0.223983993184857	-0.0589766100359401
ENSG00000005059	0.168139101573408	-0.0123073882388601	0.0609611611308467	0.0131568641667482	-0.208996760989266	-0.0164971117642276	0.206439167865832	0.0583502733693784	-0.00891491483863968	-0.0952607025329024	-0.0426885475794321	-0.122381142162885
ENSG00000005175	0.356251036779871	0.253428572310416	-0.249617415814215	-0.0473266398854258	-0.216592879342466	-0.365980156391776	0.0300300567851155	-0.162326174813829	-0.254796806093039	0.380320336553295	0.122372985034347	0.154237084877708
ENSG00000005249	0.170774471852291	0.112969876675422	0.659004969782896	-0.388148527506623	-0.72509379773213	0.0460660281230439	0.417780324612549	0.139310985178966	0.116925649817572	-0.367822916989756	0.000937224579467891	-0.182704288393698
