gene_id	log2foldchange	group
ENSG00000136925	0.043677040923632	TIS genes N = 413
ENSG00000151576	0.229509918313079	TIS genes N = 413
ENSG00000113597	0.451573020491477	TIS genes N = 413
ENSG00000047056	0.052928913874439	TIS genes N = 413
ENSG00000147548	0.781683006218657	TIS genes N = 413
ENSG00000166855	-0.12515229208028	TIS genes N = 413
ENSG00000186532	-0.098608260508834	TIS genes N = 413
ENSG00000108599	-0.703894722775465	TIS genes N = 413
ENSG00000114315	0.97811380914988	TIS genes N = 413
ENSG00000159658	0.040616326473452	TIS genes N = 413
ENSG00000152242	-0.165935793741938	TIS genes N = 413
ENSG00000162073	0.096037132706066	TIS genes N = 413
ENSG00000174013	1.040836011468448	TIS genes N = 413
ENSG00000159873	0.022666426228949	TIS genes N = 413
ENSG00000144566	-0.111033009797482	TIS genes N = 413
ENSG00000132823	0.040110700320017	TIS genes N = 413
ENSG00000183763	-0.044903706870831	TIS genes N = 413
ENSG00000109184	0.209120323271384	TIS genes N = 413
ENSG00000136152	-0.209465302470111	TIS genes N = 413
ENSG00000138640	0.141184466009467	TIS genes N = 413
ENSG00000082258	0.10122774880292	TIS genes N = 413
ENSG00000140650	-0.114781340821799	TIS genes N = 413
ENSG00000109920	0.633112579514988	TIS genes N = 413
ENSG00000070778	0.366697508421584	TIS genes N = 413
ENSG00000142731	0.088546874181148	TIS genes N = 413
ENSG00000121864	-0.42231919487733	TIS genes N = 413
ENSG00000117036	-0.690536021540062	TIS genes N = 413
ENSG00000111785	-0.05569552090087	TIS genes N = 413
ENSG00000137941	0.607422555811077	TIS genes N = 413
ENSG00000127080	-0.272552876225816	TIS genes N = 413
ENSG00000011566	-0.719605922355523	TIS genes N = 413
ENSG00000110925	0.407663950681997	TIS genes N = 413
ENSG00000113456	0.733883545912612	TIS genes N = 413
ENSG00000004766	-0.032286098501691	TIS genes N = 413
ENSG00000175376	-0.160989064816342	TIS genes N = 413
ENSG00000182831	-0.388728475839211	TIS genes N = 413
ENSG00000100744	-0.089215520027474	TIS genes N = 413
ENSG00000130766	-0.408129225225228	TIS genes N = 413
ENSG00000185730	0.244825447673867	TIS genes N = 413
ENSG00000188522	0.23570500903237	TIS genes N = 413
ENSG00000174106	0.060746001683698	TIS genes N = 413
ENSG00000160199	0.001079573093916	TIS genes N = 413
ENSG00000127081	1.033364807736838	TIS genes N = 413
ENSG00000074603	-0.221875107607372	TIS genes N = 413
ENSG00000243725	0.26026244619152	TIS genes N = 413
ENSG00000241852	-0.29712635328412	TIS genes N = 413
ENSG00000128683	0.400500512616903	TIS genes N = 413
ENSG00000109466	0.064128765986926	TIS genes N = 413
ENSG00000168876	0.266342696635567	TIS genes N = 413
ENSG00000114098	0.107061035812105	TIS genes N = 413
ENSG00000100614	-0.41118663303632	TIS genes N = 413
ENSG00000272886	0.247001963190191	TIS genes N = 413
ENSG00000213341	-1.158082034238747	TIS genes N = 413
ENSG00000184517	0.004384978323183	TIS genes N = 413
ENSG00000155592	-0.69024375127694	TIS genes N = 413
ENSG00000114520	0.131452751441881	TIS genes N = 413
ENSG00000082213	-0.20763040195988	TIS genes N = 413
ENSG00000112312	0.868504339904529	TIS genes N = 413
ENSG00000000457	-0.09769954624324	TIS genes N = 413
ENSG00000154957	-0.301137416242398	TIS genes N = 413
ENSG00000075420	-0.098168247109741	TIS genes N = 413
ENSG00000170871	-0.539463186791155	TIS genes N = 413
ENSG00000165806	0.258767758315451	TIS genes N = 413
ENSG00000118496	0.09377759424389	TIS genes N = 413
ENSG00000225830	-0.237124023938805	TIS genes N = 413
ENSG00000244165	0.478024928914764	TIS genes N = 413
ENSG00000036054	-0.371058292521392	TIS genes N = 413
