baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Geneid
29.031527628299596	0.5175039985517641	0.39958846407990195	1.2950924390256764	0.19528834289279412	0.3825264200515569	ENSG00000279457
54.72575812272215	0.6569365166834772	0.2742664584505826	2.3952492054431955	0.01660907236030366	0.06100027108874852	ENSG00000248527
19.428487889492448	0.15924193954530824	0.461275646789985	0.3452207820930329	0.7299283962144775	0.8578604093676332	ENSG00000228327
157.2658865755451	-0.23290455138296534	0.16089469586864938	-1.447558915012979	0.14774044842481576	0.315148666544054	ENSG00000228794
266.8852833541539	-0.40127772783029575	0.13420443720656153	-2.990048139858944	0.002789334832633258	0.01445544715821222	ENSG00000223764
1012.1636111024781	-0.5428752981690037	0.07982063841413511	-6.801189629083048	1.0375873644966519e-11	2.5040199444420073e-10	ENSG00000187634
3639.5556232221275	-0.005568147944402733	0.05176688805420519	-0.1075619600423405	0.9143431733551618	0.9582210760387961	ENSG00000188976
204.10114266676968	-0.3437720364068237	0.14487292485646688	-2.3729212117958993	0.01764802799261689	0.06377913079943896	ENSG00000187961
46.00581357381564	0.16149109027386496	0.2876471082506542	0.5614208717618758	0.5745106588370104	0.7539768455975241	ENSG00000272512
1094.1035997120616	0.005776329516806031	0.07424564055828753	0.07780025161573287	0.9379869462969651	0.9708171939291106	ENSG00000188290
39.60083450526357	0.20907954779675847	0.3177767818319148	0.6579446949882866	0.51057366936166515	0.7007500228495396	ENSG00000187608
303.4205997709258	-0.586855630476891	0.11906035052981714	-4.929060160375729	8.262613055584115e-7	1.0294648092762125e-5	ENSG00000188157
197.47333478409027	0.014558937043999562	0.14593085513248982	0.09976599555167126	0.9205301049416696	0.9621438748555983	ENSG00000131591
1561.229476804071	0.4965133571117162	0.07221409597038546	6.875573950483755	6.174076814667897e-12	1.5247092922244376e-10	ENSG00000078808
691.1943240186343	0.4624732205418382	0.09061624231851194	5.1036459768025475	3.3317129101973934e-7	4.474756715645232e-6	ENSG00000176022
752.7628228637471	0.027070595944846478	0.08186074602612761	0.33069080431060716	0.740878048979745	0.8647551681298394	ENSG00000160087
48.349043732620025	-0.039356166924501494	0.2793242307576199	-0.14089779041995218	0.8879506877241563	0.9452384254094991	ENSG00000162572
365.86649318767945	0.07765495296774715	0.11339204127726885	0.6848360087094953	0.4934474100040709	0.6864229063048755	ENSG00000131584
511.4268242338897	-0.03692355846458128	0.10631449161988517	-0.3473050371777826	0.7283621669241724	0.856720183493502	ENSG00000169972
1019.645216669563	-0.13273829885843222	0.07262513305498187	-1.827718494614541	0.06759181099156665	0.17829539729398708	ENSG00000127054
39.56056583969099	-0.1488032510988647	0.32601006947132566	-0.4564375920663173	0.6480753385807636	0.8058543733660821	ENSG00000240731
268.5294222413322	-0.3855204465512959	0.1278713802697691	-3.0149079937822436	0.0025705722077320374	0.013460871766722211	ENSG00000224051
22.575664287375222	-0.25105114798175027	0.41065826115554077	-0.611338360210565	0.5409756005311965	0.7284193644049138	ENSG00000169962
1189.4840142284622	0.20936884970916786	0.0708404100854852	2.9555002498787957	0.0031216244421386767	0.015797276831682323	ENSG00000107404
117.32837690041329	-0.262518247400799	0.19258018174405092	-1.3631633588844536	0.1728310322098402	0.3530929019794808	ENSG00000162576
1381.654300983894	-0.04922900361153697	0.06897165531777173	-0.71375702648755	0.47537743685340655	0.6713847575935167	ENSG00000175756
798.2129046040521	-0.12910417717897096	0.0813768348400341	-1.5864978950429385	0.11262640926216716	0.26061996971161433	ENSG00000221978
303.0173773232105	0.0710291550103653	0.1360257829927086	0.5221742043872131	0.6015490447021736	0.773476330689181	ENSG00000224870
1357.2636102984845	-0.2792346919228853	0.06931527279492442	-4.02847281217556	5.6140351573148274e-5	4.7665683590756826e-4	ENSG00000242485
25.53834750317154	-0.0731710767324029	0.39533747258976626	-0.18508510274291923	0.8531622860242359	0.9279065746972354	ENSG00000272455
160.7287755099452	-0.6576742270109882	0.16623448908604588	-3.95630431823666	7.611818414627832e-5	6.265881586234858e-4	ENSG00000179403
792.4763364210932	0.0840699021472237	0.07984075802275054	1.0529697391308344	0.2923548613475042	0.49977049861910533	ENSG00000160072
784.8031190898997	0.4500115155045932	0.08446685598092073	5.327669773884342	9.948077836596812e-8	1.4552496028482385e-6	ENSG00000197785
997.7749360710258	-0.10911887690092935	0.08991783882436379	-1.2135398084252325	0.22492350408850817	0.42140664668112066	ENSG00000160075
22.861934933287603	-0.567692930381762	0.41693995186053	-1.3615700003046487	0.1733336281939432	0.35382054764504295	ENSG00000215014
215.00690580829314	-0.30718484109384386	0.14674163377760807	-2.093372093426416	0.03631595157252096	0.1123635553676551	ENSG00000228594
27.602036843958228	-0.4346494846379785	0.37932261005396556	-1.1458570438923787	0.2518543075971645	0.4546178096265296	ENSG00000272106
458.59037600067046	0.14602397779734141	0.10177525644919205	1.4347689496635077	0.1513529487888089	0.3210164128535919	ENSG00000197530
174.12193722008104	0.28928710487514164	0.16866116237646372	1.7151969119567207	0.08630913085867116	0.21383312176060565	ENSG00000248333
545.0391328336349	0.14945624552876238	0.096262058150445	1.5525976527032264	0.12051928679499285	0.27360062142257024	ENSG00000189339
20.59229616186054	-0.13565388886421645	0.42825064937382407	-0.3167628328469921	0.7514235680675153	0.8711607578639039	ENSG00000008128
29.45331058434026	0.47096120689874477	0.38086903165785463	1.2365437138554822	0.21625652730070724	0.4104138474319991	ENSG00000268575
104.78987097426943	0.034267043191261976	0.19181543303654844	0.178645913150965	0.8582157408728416	0.931396668168264	ENSG00000215790
