Well,Target,Sample,Cq,File
D09,GAS5,si PYM1,20.33,R1Q2
D10,GAS5,si UPF1,20.54,R1Q2
D11,GAS5,si UPF1,21,R1Q2
D12,GAS5,si UPF1,21.75,R1Q2
E01,GAPDH,siNC,15.63,R1Q2
E02,GAPDH,siNC,15.85,R1Q2
E03,GAPDH,siNC,15.78,R1Q2
E04,GAPDH,si eIF4A3,16.07,R1Q2
E05,GAPDH,si eIF4A3,14.91,R1Q2
E06,GAPDH,si eIF4A3,14.04,R1Q2
E07,GAPDH,si PYM1,16.65,R1Q2
E08,GAPDH,si PYM1,16.65,R1Q2
E09,GAPDH,si PYM1,16.17,R1Q2
E10,GAPDH,si UPF1,15.84,R1Q2
E11,GAPDH,si UPF1,16.11,R1Q2
E12,GAPDH,si UPF1,16.35,R1Q2
F01,RSRC2_PTC+,siNC,21.74,R1Q2
F02,RSRC2_PTC+,siNC,22.16,R1Q2
F03,RSRC2_PTC+,siNC,22.2,R1Q2
F04,RSRC2_PTC+,si eIF4A3,21.6,R1Q2
F05,RSRC2_PTC+,si eIF4A3,22.63,R1Q2
F06,RSRC2_PTC+,si eIF4A3,21.67,R1Q2
F07,RSRC2_PTC+,si PYM1,23.04,R1Q2
F08,RSRC2_PTC+,si PYM1,23.11,R1Q2
F09,RSRC2_PTC+,si PYM1,22.86,R1Q2
F10,RSRC2_PTC+,si UPF1,22.04,R1Q2
F11,RSRC2_PTC+,si UPF1,21.88,R1Q2
F12,RSRC2_PTC+,si UPF1,22.23,R1Q2
G01,RSRC2_PTC-,siNC,17.96,R1Q2
G02,RSRC2_PTC-,siNC,18.5,R1Q2
G03,RSRC2_PTC-,siNC,18.27,R1Q2
G04,RSRC2_PTC-,si eIF4A3,19.67,R1Q2
G05,RSRC2_PTC-,si eIF4A3,19.92,R1Q2
G06,RSRC2_PTC-,si eIF4A3,20.76,R1Q2
G07,RSRC2_PTC-,si PYM1,19.98,R1Q2
G08,RSRC2_PTC-,si PYM1,20.79,R1Q2
G09,RSRC2_PTC-,si PYM1,20.18,R1Q2
G10,RSRC2_PTC-,si UPF1,19.59,R1Q2
G11,RSRC2_PTC-,si UPF1,19.54,R1Q2
G12,RSRC2_PTC-,si UPF1,19.61,R1Q2
A01,RPS9_PTC+,siNC,18.85,R2Q1
A02,RPS9_PTC+,siNC,18.3,R2Q1
A03,RPS9_PTC+,siNC,18.21,R2Q1
A04,RPS9_PTC+,si eIF4A3,19.44,R2Q1
A05,RPS9_PTC+,si eIF4A3,19.76,R2Q1
A06,RPS9_PTC+,si eIF4A3,19.98,R2Q1
A07,RPS9_PTC+,si PYM1,18.83,R2Q1
A08,RPS9_PTC+,si PYM1,18.94,R2Q1
A09,RPS9_PTC+,si PYM1,18.97,R2Q1
A10,RPS9_PTC+,si UPF1,19.35,R2Q1
A11,RPS9_PTC+,si UPF1,19.53,R2Q1
A12,RPS9_PTC+,si UPF1,19.84,R2Q1
B01,RPS9_NOR,siNC,18.87,R2Q1
B02,RPS9_NOR,siNC,18.76,R2Q1
B03,RPS9_NOR,siNC,18.9,R2Q1
B04,RPS9_NOR,si eIF4A3,20.59,R2Q1
B05,RPS9_NOR,si eIF4A3,20.75,R2Q1
B06,RPS9_NOR,si eIF4A3,20.79,R2Q1
B07,RPS9_NOR,si PYM1,18.98,R2Q1
B08,RPS9_NOR,si PYM1,18.91,R2Q1
B09,RPS9_NOR,si PYM1,19.54,R2Q1
B10,RPS9_NOR,si UPF1,19.84,R2Q1
B11,RPS9_NOR,si UPF1,20.06,R2Q1
B12,RPS9_NOR,si UPF1,20.15,R2Q1
C01,GAPDH,siNC,16.62,R2Q1
C02,GAPDH,siNC,16.87,R2Q1
C03,GAPDH,siNC,16.94,R2Q1
C04,GAPDH,si eIF4A3,18.65,R2Q1
C05,GAPDH,si eIF4A3,18.66,R2Q1
C06,GAPDH,si eIF4A3,18.64,R2Q1
C07,GAPDH,si PYM1,17.57,R2Q1
C08,GAPDH,si PYM1,17.28,R2Q1
C09,GAPDH,si PYM1,17.64,R2Q1
C10,GAPDH,si UPF1,17.2,R2Q1
C11,GAPDH,si UPF1,17.51,R2Q1
C12,GAPDH,si UPF1,17.65,R2Q1
D01,SRSF2_PTC+,siNC,23.59,R2Q1
D02,SRSF2_PTC+,siNC,24.69,R2Q1
D03,SRSF2_PTC+,siNC,24.52,R2Q1
D04,SRSF2_PTC+,si eIF4A3,22.9,R2Q1
D05,SRSF2_PTC+,si eIF4A3,22.65,R2Q1
D06,SRSF2_PTC+,si eIF4A3,21.91,R2Q1
D07,SRSF2_PTC+,si PYM1,24.7,R2Q1
D08,SRSF2_PTC+,si PYM1,25,R2Q1
D09,SRSF2_PTC+,si PYM1,24.99,R2Q1
D10,SRSF2_PTC+,si UPF1,24.99,R2Q1
