Well,Target,Sample,Cq,File
A03,RPS9_PTC+,siNC,18.44,R2Q3
A04,RPS9_PTC+,si eIF4A3,20.2,R2Q3
A05,RPS9_PTC+,si eIF4A3,19.82,R2Q3
A06,RPS9_PTC+,si eIF4A3,19.29,R2Q3
A07,RPS9_PTC+,si PYM1,19.37,R2Q3
A08,RPS9_PTC+,si PYM1,19.45,R2Q3
A09,RPS9_PTC+,si PYM1,19.69,R2Q3
A10,RPS9_PTC+,si UPF1,19.96,R2Q3
A11,RPS9_PTC+,si UPF1,20.45,R2Q3
A12,RPS9_PTC+,si UPF1,19.81,R2Q3
B01,RPS9_NOR,siNC,16.46,R2Q3
B02,RPS9_NOR,siNC,16.81,R2Q3
B03,RPS9_NOR,siNC,16.91,R2Q3
B04,RPS9_NOR,si eIF4A3,18.4,R2Q3
B05,RPS9_NOR,si eIF4A3,17.9,R2Q3
B06,RPS9_NOR,si eIF4A3,16.79,R2Q3
B07,RPS9_NOR,si PYM1,20.08,R2Q3
B08,RPS9_NOR,si PYM1,19.88,R2Q3
B09,RPS9_NOR,si PYM1,19.82,R2Q3
B10,RPS9_NOR,si UPF1,20.47,R2Q3
B11,RPS9_NOR,si UPF1,20.56,R2Q3
B12,RPS9_NOR,si UPF1,19.86,R2Q3
C01,GAPDH,siNC,16.79,R2Q3
C02,GAPDH,siNC,16.76,R2Q3
C03,GAPDH,siNC,16.87,R2Q3
C04,GAPDH,si eIF4A3,19.05,R2Q3
C05,GAPDH,si eIF4A3,19.03,R2Q3
C06,GAPDH,si eIF4A3,19.36,R2Q3
C07,GAPDH,si PYM1,17.97,R2Q3
C08,GAPDH,si PYM1,17.84,R2Q3
C09,GAPDH,si PYM1,17.75,R2Q3
C10,GAPDH,si UPF1,17.82,R2Q3
C11,GAPDH,si UPF1,17.8,R2Q3
C12,GAPDH,si UPF1,18.02,R2Q3
D01,B-actin,siNC,17.84,R2Q3
D02,B-actin,siNC,17.77,R2Q3
D03,B-actin,siNC,18.11,R2Q3
D04,B-actin,si eIF4A3,19.93,R2Q3
D05,B-actin,si eIF4A3,19.69,R2Q3
D06,B-actin,si eIF4A3,20.08,R2Q3
D07,B-actin,si PYM1,18.01,R2Q3
D08,B-actin,si PYM1,18.31,R2Q3
D09,B-actin,si PYM1,18.36,R2Q3
D10,B-actin,si UPF1,18.44,R2Q3
D11,B-actin,si UPF1,17.94,R2Q3
D12,B-actin,si UPF1,18.7,R2Q3
E01,SRSF3_PTC+,siNC,22.82,R2Q3
E02,SRSF3_PTC+,siNC,23.76,R2Q3
E03,SRSF3_PTC+,siNC,24.3,R2Q3
E04,SRSF3_PTC+,si eIF4A3,24.48,R2Q3
E05,SRSF3_PTC+,si eIF4A3,24.79,R2Q3
E06,SRSF3_PTC+,si eIF4A3,25.75,R2Q3
E07,SRSF3_PTC+,si PYM1,23.5,R2Q3
E08,SRSF3_PTC+,si PYM1,23.77,R2Q3
E09,SRSF3_PTC+,si PYM1,23.45,R2Q3
E10,SRSF3_PTC+,si UPF1,24.03,R2Q3
E11,SRSF3_PTC+,si UPF1,22.91,R2Q3
E12,SRSF3_PTC+,si UPF1,22.79,R2Q3
F01,SRSF3_NOR,siNC,18.65,R2Q3
F02,SRSF3_NOR,siNC,18.26,R2Q3
F03,SRSF3_NOR,siNC,19.34,R2Q3
F04,SRSF3_NOR,si eIF4A3,20.82,R2Q3
F05,SRSF3_NOR,si eIF4A3,20.92,R2Q3
F06,SRSF3_NOR,si eIF4A3,21.01,R2Q3
F07,SRSF3_NOR,si PYM1,18.9,R2Q3
F08,SRSF3_NOR,si PYM1,18.84,R2Q3
F09,SRSF3_NOR,si PYM1,18.55,R2Q3
F10,SRSF3_NOR,si UPF1,19.04,R2Q3
F11,SRSF3_NOR,si UPF1,18.93,R2Q3
F12,SRSF3_NOR,si UPF1,19.89,R2Q3
G01,RSRC2_PTC+,siNC,20.5,R2Q3
G02,RSRC2_PTC+,siNC,20.65,R2Q3
G03,RSRC2_PTC+,siNC,20.71,R2Q3
G04,RSRC2_PTC+,si eIF4A3,20.62,R2Q3
G05,RSRC2_PTC+,si eIF4A3,21.04,R2Q3
G06,RSRC2_PTC+,si eIF4A3,20.98,R2Q3
G07,RSRC2_PTC+,si PYM1,21.29,R2Q3
G08,RSRC2_PTC+,si PYM1,21.36,R2Q3
G09,RSRC2_PTC+,si PYM1,21.45,R2Q3
G10,RSRC2_PTC+,si UPF1,21.25,R2Q3
G11,RSRC2_PTC+,si UPF1,21.33,R2Q3
G12,RSRC2_PTC+,si UPF1,21.4,R2Q3
H01,RSRC2_NOR,siNC,17.37,R2Q3
H02,RSRC2_NOR,siNC,17.4,R2Q3
H03,RSRC2_NOR,siNC,17.42,R2Q3
H04,RSRC2_NOR,si eIF4A3,19.85,R2Q3
H05,RSRC2_NOR,si eIF4A3,19.89,R2Q3
H06,RSRC2_NOR,si eIF4A3,20.32,R2Q3
H07,RSRC2_NOR,si PYM1,18.8,R2Q3
H08,RSRC2_NOR,si PYM1,18.71,R2Q3
H09,RSRC2_NOR,si PYM1,18.75,R2Q3
H10,RSRC2_NOR,si UPF1,19.71,R2Q3
H11,RSRC2_NOR,si UPF1,19.86,R2Q3
H12,RSRC2_NOR,si UPF1,19.85,R2Q3
