Sample	Target	N	Cq	sd	se	ci	Delcq	Rel.levels	Sampletype	RepNo	CellLine	Rel.Norm.Levels
HEK_DMSO_5	SLC7A5	3	21.191848822502532	0.08906743012948455	0.051423104761286094	0.22125576207334016	6.274871411203533	0.01291443724607467	DMSO	5	HEK	1
HEK_SMG1i_5	SLC7A5	3	20.0029157841899	0.07135393795812733	0.04119621528786467	0.17725300816367745	4.984132365353432	0.03159560353896511	SMG1i	5	HEK	2.446533514154367
HEK_DMSO_5	SRSF3_NOR	3	18.7408121116702	0.1276735806424997	0.0737123761523506	0.31715875646823044	3.823834700371199	0.07061729156253611	DMSO	5	HEK	1
HEK_SMG1i_5	SRSF3_NOR	3	18.95723392922037	0.006344503246286194	0.003663000657117789	0.015760619776421927	3.938450510383902	0.06522412474584902	SMG1i	5	HEK	0.9236282403735195
HEK_DMSO_5	SRSF3_PTC	3	20.2009324937653	0.023851215652704153	0.013770505777588558	0.059249704273972144	5.283955082466301	0.025666758506775404	DMSO	5	HEK	1
HEK_SMG1i_5	SRSF3_PTC	3	18.0910775590077	0.0668781268119384	0.038612104517770564	0.16613447690475705	3.072294140171234	0.11889054237755406	SMG1i	5	HEK	4.632082479218006
HEK_DMSO_5	USF2	3	18.439332260110465	0.08754560603104668	0.05054447920839373	0.2174753414397602	3.5223548488114655	0.0870293089667367	DMSO	5	HEK	1
HEK_SMG1i_5	USF2	3	18.7850538265898	0.03595701060822202	0.020759789753911212	0.08932216605369099	3.766270407753332	0.07349192708598248	SMG1i	5	HEK	0.8444503117228207
HEK_DMSO_5	DYNC1H1	3	19.553144425433434	0.11110785289073251	0.06414814877554575	0.27600720743747653	4.636167014134434	0.04021375834781804	DMSO	5	HEK	1
HEK_SMG1i_5	DYNC1H1	3	19.033629555724332	0.1201592214654609	0.06937395885869971	0.29849205345691115	4.014846136887865	0.06186013804441862	SMG1i	5	HEK	1.5382829306670633
HEK_DMSO_5	FNBP4	3	20.1239484837414	0.06222829456735323	0.03592752261967272	0.15458365327267037	5.206971072442402	0.027073569610693404	DMSO	5	HEK	1
HEK_SMG1i_5	FNBP4	3	18.805256437294567	0.11764331366177057	0.06792139881098282	0.2922421920024771	3.7864730184581	0.07246996368169827	SMG1i	5	HEK	2.6767790403624643
HEK_DMSO_5	PCNT	3	21.047116582738568	0.07131292752927207	0.041172537905725504	0.17715113261078302	6.130139171439568	0.014277239071103861	DMSO	5	HEK	1
HEK_SMG1i_5	PCNT	3	20.156379962807033	0.14647635267353679	0.08456816164598102	0.363867431555974	5.137596543970567	0.028407259243605456	SMG1i	5	HEK	1.9896885596809661
HEK_DMSO_6	ACTB	3	14.955856286666666	0.009594326011999292	0.00553928670572082	0.02383362706523459	0	1	DMSO	6	HEK	1
HEK_SMG1i_6	ACTB	3	15.53318021	0.03747164211423871	0.021634262661633038	0.09308471929719225	0	1	SMG1i	6	HEK	1
HEK_DMSO_6	DYNC1H1	3	19.84776358	0.05133272754120236	0.0296369640641509	0.1275175643321056	4.8919072933333325	0.033681325053624124	DMSO	6	HEK	1
