source_file,Well,Fluor,Target,Sample,Cq,Exp
1,F09,SYBR,SRSF3_PTC,HEK_SMG1i_3,18.2851716114649,ncEJCtargets
1,F10,SYBR,BRD2,HEK_SMG1i_3,15.9538454301202,ncEJCtargets
1,F11,SYBR,BRD2,HEK_SMG1i_3,15.7094196387698,ncEJCtargets
1,F12,SYBR,BRD2,HEK_SMG1i_3,15.908211037931,ncEJCtargets
1,G01,SYBR,ACTB,HCT_DMSO_1,14.9661358901576,ncEJCtargets
1,G02,SYBR,ACTB,HCT_DMSO_1,15.0020982611726,ncEJCtargets
1,G03,SYBR,ACTB,HCT_DMSO_1,14.9168111760539,ncEJCtargets
1,G04,SYBR,SRSF3_NOR,HCT_DMSO_1,21.0553188276653,ncEJCtargets
1,G05,SYBR,SRSF3_NOR,HCT_DMSO_1,21.0472250687449,ncEJCtargets
1,G06,SYBR,SRSF3_NOR,HCT_DMSO_1,20.7535768842725,ncEJCtargets
1,G07,SYBR,SRSF3_PTC,HCT_DMSO_1,21.9064967461934,ncEJCtargets
1,G08,SYBR,SRSF3_PTC,HCT_DMSO_1,21.9461856312442,ncEJCtargets
1,G09,SYBR,SRSF3_PTC,HCT_DMSO_1,21.7501499132948,ncEJCtargets
1,G10,SYBR,BRD2,HCT_DMSO_1,18.7123298196121,ncEJCtargets
1,G11,SYBR,BRD2,HCT_DMSO_1,18.7760523727258,ncEJCtargets
1,G12,SYBR,BRD2,HCT_DMSO_1,18.7713991558562,ncEJCtargets
1,H01,SYBR,ACTB,HCT_SMG1i_1,15.4568493453261,ncEJCtargets
1,H02,SYBR,ACTB,HCT_SMG1i_1,15.5643095208916,ncEJCtargets
1,H03,SYBR,ACTB,HCT_SMG1i_1,15.5232365713331,ncEJCtargets
1,H04,SYBR,SRSF3_NOR,HCT_SMG1i_1,21.4544731417574,ncEJCtargets
1,H05,SYBR,SRSF3_NOR,HCT_SMG1i_1,21.522702220804,ncEJCtargets
1,H06,SYBR,SRSF3_NOR,HCT_SMG1i_1,20.996890075972,ncEJCtargets
1,H07,SYBR,SRSF3_PTC,HCT_SMG1i_1,19.2740977581241,ncEJCtargets
1,H08,SYBR,SRSF3_PTC,HCT_SMG1i_1,19.2986005875779,ncEJCtargets
1,H09,SYBR,SRSF3_PTC,HCT_SMG1i_1,19.0002699201906,ncEJCtargets
1,H10,SYBR,BRD2,HCT_SMG1i_1,17.1833780056287,ncEJCtargets
1,H11,SYBR,BRD2,HCT_SMG1i_1,17.1071993955451,ncEJCtargets
1,H12,SYBR,BRD2,HCT_SMG1i_1,17.0898553556335,ncEJCtargets
2,A01,SYBR,EPHA2,HEK_DMSO_1,22.07038535621,ncEJCtargets
2,A02,SYBR,EPHA2,HEK_DMSO_1,22.1000090677638,ncEJCtargets
2,A03,SYBR,EPHA2,HEK_DMSO_1,22.0797772636639,ncEJCtargets
