annotation_KD_method	quartile	gene	log2foldchange
50_100_SMG_log2fold	Q1	ENSG00000121350	1.0516323418905682
50_100_SMG_log2fold	Q1	ENSG00000067167	-0.13498074531586768
50_100_SMG_log2fold	Q1	ENSG00000103353	-0.3022248580189178
50_100_SMG_log2fold	Q1	ENSG00000163558	-0.4485842622975974
50_100_SMG_log2fold	Q1	ENSG00000196455	-0.6389343403038564
50_100_SMG_log2fold	Q1	ENSG00000165895	1.0303765193254801
50_100_SMG_log2fold	Q1	ENSG00000041982	1.3484117675616878
50_100_SMG_log2fold	Q1	ENSG00000105854	-0.41495080012259433
50_100_SMG_log2fold	Q1	ENSG00000165732	-0.9249575894024809
50_100_SMG_log2fold	Q1	ENSG00000100387	-0.8884992194992939
50_100_SMG_log2fold	Q1	ENSG00000143942	-0.801530383657797
50_100_SMG_log2fold	Q1	ENSG00000117305	-1.5633622773752684
50_100_SMG_log2fold	Q1	ENSG00000124383	-0.7563257303428288
50_100_SMG_log2fold	Q1	ENSG00000132842	0.37129418266661524
50_100_SMG_log2fold	Q1	ENSG00000115526	-0.559905974612898
50_100_SMG_log2fold	Q1	ENSG00000174891	-0.880370695314023
50_100_SMG_log2fold	Q1	ENSG00000101310	-0.39401354255365506
50_100_SMG_log2fold	Q1	ENSG00000134533	0.2200770936056229
50_100_SMG_log2fold	Q1	ENSG00000124374	-1.0027698042351585
50_100_SMG_log2fold	Q1	ENSG00000165487	-0.44823886579681244
50_100_SMG_log2fold	Q1	ENSG00000189043	-1.136881643883742
50_100_SMG_log2fold	Q1	ENSG00000148426	-0.15950311186399832
50_100_SMG_log2fold	Q1	ENSG00000116016	0.3430747099507375
50_100_SMG_log2fold	Q1	ENSG00000163840	0.7283447938669337
50_100_SMG_log2fold	Q1	ENSG00000086300	-0.04602501631949269
50_100_SMG_log2fold	Q1	ENSG00000132467	-1.2012020915701218
50_100_SMG_log2fold	Q1	ENSG00000136231	-0.3393811143405821
50_100_SMG_log2fold	Q1	ENSG00000128059	-1.2789130175845183
50_100_SMG_log2fold	Q1	ENSG00000118705	-0.4214029845390438
50_100_SMG_log2fold	Q1	ENSG00000189266	-0.7156536911307857
50_100_SMG_log2fold	Q1	ENSG00000175029	2.771959087542288
50_100_SMG_log2fold	Q1	ENSG00000117528	-0.6393891204453812
50_100_SMG_log2fold	Q1	ENSG00000170502	0.6824101090415213
50_100_SMG_log2fold	Q1	ENSG00000164104	-0.6102024559036675
50_100_SMG_log2fold	Q1	ENSG00000137492	-0.9442604283084013
50_100_SMG_log2fold	Q1	ENSG00000107105	-0.9442604283084013
50_100_SMG_log2fold	Q1	ENSG00000135617	-0.5550535273186411
50_100_SMG_log2fold	Q1	ENSG00000119878	-0.14172268499324503
50_100_SMG_log2fold	Q1	ENSG00000091656	-0.8861592504680992
50_100_SMG_log2fold	Q1	ENSG00000154719	-0.754739435616575
50_100_SMG_log2fold	Q1	ENSG00000130707	-0.42917854895177515
50_100_SMG_log2fold	Q1	ENSG00000151665	-1.0080758491554491
50_100_SMG_log2fold	Q1	ENSG00000115539	-0.9126619663592922
50_100_SMG_log2fold	Q1	ENSG00000153767	-1.0716623811909456
50_100_SMG_log2fold	Q1	ENSG00000171262	-2.101308432211584
50_100_SMG_log2fold	Q1	ENSG00000024526	-1.881272135260991
50_100_SMG_log2fold	Q1	ENSG00000026025	-0.5396133582917607
50_100_SMG_log2fold	Q1	ENSG00000177156	-1.0779997940299588
