annotation_KD_method	quartile	gene	log2foldchange
50_100_UPF1_log2fold	Q1	ENSG00000143942	-0.0857384646001985
50_100_UPF1_log2fold	Q1	ENSG00000132842	-0.0760199059604035
50_100_UPF1_log2fold	Q1	ENSG00000157916	-0.451563284288663
50_100_UPF1_log2fold	Q1	ENSG00000174891	-0.414781136217231
50_100_UPF1_log2fold	Q1	ENSG00000101310	0.0239026126166949
50_100_UPF1_log2fold	Q1	ENSG00000172244	-0.279258676107915
50_100_UPF1_log2fold	Q1	ENSG00000114120	0.186055983362732
50_100_UPF1_log2fold	Q1	ENSG00000189043	0.00450933520878453
50_100_UPF1_log2fold	Q1	ENSG00000116016	0.0268907245195724
50_100_UPF1_log2fold	Q1	ENSG00000086300	0.558823128344337
50_100_UPF1_log2fold	Q1	ENSG00000136231	0.233125276422206
50_100_UPF1_log2fold	Q1	ENSG00000165417	-0.165397743631168
50_100_UPF1_log2fold	Q1	ENSG00000189266	-0.0418902795285346
50_100_UPF1_log2fold	Q1	ENSG00000116212	-0.570755740743951
50_100_UPF1_log2fold	Q1	ENSG00000136826	0.863283052424278
50_100_UPF1_log2fold	Q1	ENSG00000175029	-0.0263696350629703
50_100_UPF1_log2fold	Q1	ENSG00000100393	-0.303650423095361
50_100_UPF1_log2fold	Q1	ENSG00000170502	-0.279082529493654
50_100_UPF1_log2fold	Q1	ENSG00000137492	-0.428450689273981
50_100_UPF1_log2fold	Q1	ENSG00000150961	0.69160413549223
50_100_UPF1_log2fold	Q1	ENSG00000164105	-0.163287729213793
50_100_UPF1_log2fold	Q1	ENSG00000132294	-0.647348455785002
50_100_UPF1_log2fold	Q1	ENSG00000166068	0.17386347393526
50_100_UPF1_log2fold	Q1	ENSG00000135617	-0.174946638600946
50_100_UPF1_log2fold	Q1	ENSG00000119878	0.117625712332198
50_100_UPF1_log2fold	Q1	ENSG00000130707	-0.308355196164363
50_100_UPF1_log2fold	Q1	ENSG00000104133	0.289061333650405
50_100_UPF1_log2fold	Q1	ENSG00000151665	0.101737297638864
50_100_UPF1_log2fold	Q1	ENSG00000180773	0.800659615388385
50_100_UPF1_log2fold	Q1	ENSG00000153767	-0.271731302066685
50_100_UPF1_log2fold	Q1	ENSG00000134014	0.383491351408163
50_100_UPF1_log2fold	Q1	ENSG00000111711	0.780815635503808
50_100_UPF1_log2fold	Q1	ENSG00000024526	-0.56678345716789
50_100_UPF1_log2fold	Q1	ENSG00000026025	1.39477222911628
50_100_UPF1_log2fold	Q1	ENSG00000101557	0.123177448633202
50_100_UPF1_log2fold	Q1	ENSG00000177156	0.221519465536666
50_100_UPF1_log2fold	Q1	ENSG00000158716	-0.506889699136132
50_100_UPF1_log2fold	Q1	ENSG00000143570	0.438479236996692
50_100_UPF1_log2fold	Q1	ENSG00000167394	0.0601720326413854
50_100_UPF1_log2fold	Q1	ENSG00000140694	0.044386518251028
50_100_UPF1_log2fold	Q1	ENSG00000181192	0.129835106961669
50_100_UPF1_log2fold	Q1	ENSG00000108561	-0.357312972317678
