"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007174-n",0,NA,NA,NA,NA,NA
"ENSG00000007174-l",0,NA,NA,NA,NA,NA
"ENSG00000007174-c",0,NA,NA,NA,NA,NA
"ENSG00000121774-n",4.1591054897126,0.300618950056189,1.3292322602703,0.226159836050817,0.821077107500706,NA
"ENSG00000132749-n",0.828829053404193,-2.94045738793781,3.09592542359709,-0.949783016582278,0.342222517185112,NA
"ENSG00000130684-l",218.561945652223,0.137097097420951,0.280250049614733,0.489195622300235,0.624703208522787,0.866019735843202
"ENSG00000124333-c",7.51634296667536,-1.15667511014338,1.02794837260246,-1.12522685085344,0.260492917743942,NA
"ENSG00000100325-c",44.8343840356712,-0.107574861660825,0.455399629404982,-0.236220793155631,0.813261345420534,NA
"ENSG00000100325-l",20.3542053840264,-0.0530064294593444,0.703808414517667,-0.0753137194241571,0.939965105962942,NA
"ENSG00000188452-n",0,NA,NA,NA,NA,NA
"ENSG00000130684-c",7.84985956525085,-0.485478546291026,0.994078955476232,-0.488370208036894,0.625287640066325,NA
"ENSG00000094963-l",0.3102016197007,1.99850899510383,4.98799634513069,0.40066368473882,0.688667751151599,NA
"ENSG00000116497-c",36.3113053822003,-0.352095485623658,0.518487576814832,-0.679081816746022,0.49708602297231,NA
"ENSG00000163060-c",0,NA,NA,NA,NA,NA
"ENSG00000146285-l",0,NA,NA,NA,NA,NA
"ENSG00000163060-l",0,NA,NA,NA,NA,NA
"ENSG00000163060-n",0.206607686322791,-0.941644264161726,4.9970622719052,-0.188439569675947,0.850532083153914,NA
"ENSG00000116497-n",115.460761300061,0.364270223333337,0.335264220348152,1.08651684619093,0.277250391892402,0.646647553917049
"ENSG00000071859-c",17.0561641535796,0.439227140196623,0.744602021255871,0.589881745762398,0.555269933035198,NA
"ENSG00000116497-l",35.4849429458925,0.0505708127672913,0.501572901622393,0.100824451647436,0.919689816137582,NA
"ENSG00000196470-c",0.588075208507524,2.94264239510658,3.56509458752149,0.825403736946106,0.409142414039429,NA
"ENSG00000146576-n",17.8573989155644,0.26360999211729,0.667784270351741,0.394753221693047,0.693025020622485,NA
"ENSG00000048828-c",94.8991768587939,-0.0164996691580088,0.366755500461756,-0.0449881982335241,0.964116715876153,0.990802920435326
"ENSG00000048828-l",70.0494013752361,-0.078695025978171,0.389690988679096,-0.201942124053002,0.839961970185283,0.959393110800745
"ENSG00000048828-n",18.7516150097634,-0.0507536679726045,0.687498815650046,-0.073823644226377,0.941150712984838,NA
"ENSG00000196470-l",19.0958021830444,0.698810894406511,0.652756620620225,1.07055351463541,0.284370234554245,NA
"ENSG00000162976-c",0.72581530045931,-0.465372308660651,3.13844590720021,-0.148281130986835,0.882120906027108,NA
"ENSG00000158055-l",4.15729226524238,-0.00998539059870851,1.33111483905507,-0.00750152451594404,0.994014705541246,NA
"ENSG00000171960-l",8.80625582674368,0.571422809006748,0.988345973686913,0.578160709124073,0.563155622913463,NA
"ENSG00000158055-c",2.70326335621073,0.223408386524586,1.61499299254666,0.138333966497462,0.889976482176522,NA
"ENSG00000162976-l",1.17796854469505,-0.138144709665588,2.50665848055075,-0.0551111013875474,0.956049951959011,NA
"ENSG00000168944-n",1.77084036942863,0.878600765078716,2.12273061491786,0.413901207672888,0.678946459407626,NA
"ENSG00000146576-c",16.0291023118968,-0.114465795952023,0.710556530406268,-0.1610931587478,0.872020028401748,NA
"ENSG00000168944-c",80.5516468968304,-0.416033598846573,0.411871101357546,-1.01010631111362,0.312444358889066,0.673821519132116
"ENSG00000256525-c",55.3299867880984,-0.868413659851846,0.462010523580769,-1.87964043139383,0.0601570990625169,NA
"ENSG00000155666-n",1.83971286700941,-1.09049414299621,2.0454625522784,-0.533128383006345,0.593944712676579,NA
"ENSG00000256525-l",10.4567239124228,-0.449043336187262,0.857565512350831,-0.523625693570986,0.600538907204448,NA
"ENSG00000256525-n",9.4578267361729,-0.0323883425690172,0.896568772548806,-0.0361247720874129,0.971182869946951,NA
"ENSG00000143486-c",40.9681314412742,-0.699502252591793,0.480866109573797,-1.45467155756054,0.145760210295659,NA
"ENSG00000141569-l",98.3534923115145,0.104582888073149,0.368402335901222,0.283882260999534,0.77650061115808,0.934062329587514
"ENSG00000141569-n",2.00977118343552,4.72157826499766,2.30819994555107,2.0455672716301,0.0407989642543754,NA
"ENSG00000141569-c",9.45542842805988,-0.0318135412708761,0.891371178789238,-0.0356905653087066,0.971529093553645,NA
"ENSG00000143486-l",14.3660674084294,-0.0408191424052361,0.737469266715671,-0.0553502962733954,0.955859392918299,NA
"ENSG00000143507-c",13.4486822307198,-0.0498221680629038,0.791491398743928,-0.0629472008691061,0.94980854848458,NA
"ENSG00000166803-l",8.26423039555271,0.876121684382207,0.965074127757647,0.907828382486928,0.363968900382862,NA
"ENSG00000197181-l",2.66010904882754,1.12377125299395,1.69737205105915,0.662065368810996,0.507929329045908,NA
"ENSG00000169807-c",0,NA,NA,NA,NA,NA
"ENSG00000169807-l",0,NA,NA,NA,NA,NA
"ENSG00000197181-c",2.27682339896281,2.14786911729675,2.05533816368366,1.04501981972993,0.296013809362288,NA
"ENSG00000166803-c",26.1798459436217,-0.612626904699216,0.583833394933257,-1.04931802465539,0.294031772920269,NA
"ENSG00000143507-n",12.8353133106639,1.16645843447698,0.789037735703646,1.47833035315701,0.139319377111879,NA
"ENSG00000143507-l",8.51159408114566,0.497243590756425,0.936322057329141,0.531060426126041,0.595376906480687,NA
"ENSG00000170043-c",11.589130035202,0.621909106050287,0.820795499590146,0.757690687096639,0.448636175498863,NA
"ENSG00000150768-n",1.41930257002474,-0.500923497198493,2.19888081008876,-0.227808390022865,0.819795203889692,NA
"ENSG00000213401-c",0,NA,NA,NA,NA,NA
"ENSG00000213401-l",0,NA,NA,NA,NA,NA
"ENSG00000170043-l",11.2435492128903,1.1216026262568,0.838051250976052,1.33834610347578,0.180783639434858,NA
"ENSG00000172578-l",0,NA,NA,NA,NA,NA
"ENSG00000183559-l",0,NA,NA,NA,NA,NA
"ENSG00000172578-n",0,NA,NA,NA,NA,NA
"ENSG00000183559-c",0,NA,NA,NA,NA,NA
"ENSG00000172578-c",0,NA,NA,NA,NA,NA
"ENSG00000076258-c",0.209005994435819,-0.950044381518918,4.99645954497062,-0.190143515216734,0.849196671826314,NA
"ENSG00000135862-c",274.115820206092,0.267985915929284,0.280538240433607,0.955256279910638,0.339448111056534,0.695226310842535
"ENSG00000116350-c",55.9559132485451,-0.481821867203504,0.420638190540602,-1.14545440247418,0.252020973548233,NA
"ENSG00000173145-l",75.8836103663402,-0.484386089599055,0.375262514065291,-1.29079263567151,0.196775592112481,0.551041593024986
"ENSG00000173145-c",100.327867466622,-0.301322463994944,0.377080294238923,-0.799093637611363,0.424236118579952,0.76493946989387
"ENSG00000116350-l",272.274334927357,0.314152147939792,0.267513810046559,1.17433992617098,0.240258897091213,0.600741314340049
"ENSG00000135862-l",275.768151077361,0.120832398571706,0.269447873548632,0.448444431868555,0.653832481301678,0.879767009185106
"ENSG00000076258-n",0,NA,NA,NA,NA,NA
"ENSG00000135862-n",25.2132620886364,0.126122718921562,0.576720642399458,0.218689447974024,0.826891969335804,NA
"ENSG00000076258-l",1.24502291459583,-0.0343502756529082,2.45902946522983,-0.013969037841398,0.98885468285001,NA
"ENSG00000151689-l",9.97281791451639,0.356692305040156,0.876445046889864,0.406976234626355,0.684025443063259,NA
"ENSG00000006625-c",19.5198536385988,-0.00572935074241824,0.64271758946094,-0.00891425851161714,0.99288754496006,NA
"ENSG00000173728-l",0,NA,NA,NA,NA,NA
"ENSG00000173728-c",0,NA,NA,NA,NA,NA
"ENSG00000121053-n",0,NA,NA,NA,NA,NA
"ENSG00000006625-l",16.4237846122644,0.48210430017409,0.708203943877787,0.680742184990269,0.49603463850834,NA
"ENSG00000151689-c",14.3127396881611,-0.132898927403047,0.762169808545598,-0.174369183760572,0.861575331092215,NA
"ENSG00000135829-c",642.082547406103,-0.951811689308676,0.277442093974709,-3.4306679122579,0.000602097206192637,0.0341701357654043
"ENSG00000147852-n",5.26457508788642,0.37060206453778,1.2023059438858,0.308242728419033,0.757897641652587,NA
"ENSG00000135829-l",88.1134855635041,-0.17778414877523,0.356369658244302,-0.498875660882874,0.617866981493798,0.864646431365258
"ENSG00000175573-c",0,NA,NA,NA,NA,NA
"ENSG00000154274-c",0,NA,NA,NA,NA,NA
"ENSG00000154274-l",0,NA,NA,NA,NA,NA
"ENSG00000175573-l",4.43756416216223,0.173814805421364,1.31391737076728,0.132287470497374,0.894756917371611,NA
"ENSG00000183783-l",0,NA,NA,NA,NA,NA
"ENSG00000171517-n",4.37050979226145,0.146837691414237,1.31734852844282,0.111464573151197,0.911247957028368,NA
"ENSG00000183783-c",0,NA,NA,NA,NA,NA
"ENSG00000144485-l",11.5107669366209,-1.01609741560129,0.859174355444779,-1.18264402232452,0.236950257836898,NA
"ENSG00000120699-c",83.0363752969023,-0.981131775326773,0.399749089419124,-2.45436900619951,0.0141132073839149,0.17712152016246
"ENSG00000120699-l",7.58579074147939,-0.439263558532781,0.994679577690346,-0.441613126865191,0.658769183343647,NA
"ENSG00000144485-c",0,NA,NA,NA,NA,NA
