"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007174-n",0.29254341491509,1.68475969526047,4.97619728993181,0.338563685702171,0.734938443127846,NA
"ENSG00000007174-l",0,NA,NA,NA,NA,NA
"ENSG00000007174-c",0,NA,NA,NA,NA,NA
"ENSG00000121774-n",4.58750554121277,0.153995002281893,1.30011681128998,0.11844705102236,0.905713446816204,NA
"ENSG00000132749-n",3.80676863411587,1.5605562916645,1.58831286485413,0.982524492621178,0.325841522704367,NA
"ENSG00000130684-l",234.994949384929,-0.0503003309307785,0.3390817194601,-0.14834279775055,0.882072241248431,0.963796437594415
"ENSG00000124333-c",8.75528121181836,-1.06072824613557,1.04899443222285,-1.01118577330087,0.311927523639038,NA
"ENSG00000100325-c",70.4000190122666,0.707443838304439,0.427291682401712,1.65564617202014,0.0977934939975675,0.365226851625015
"ENSG00000100325-l",26.4367985831493,0.267090975349136,0.606946065959673,0.440057181896097,0.65989569272377,0.877335748782671
"ENSG00000188452-n",0,NA,NA,NA,NA,NA
"ENSG00000130684-c",11.1960134333882,0.192711812562812,0.860627719649381,0.223920062255632,0.822819504648117,NA
"ENSG00000094963-l",0,NA,NA,NA,NA,NA
"ENSG00000116497-c",55.6223390194332,0.474024890282392,0.489763368228656,0.967865138621564,0.333111726869428,0.671100218600017
"ENSG00000163060-c",0,NA,NA,NA,NA,NA
"ENSG00000146285-l",0,NA,NA,NA,NA,NA
"ENSG00000163060-l",0.29254341491509,1.68475969526047,4.97619728993181,0.338563685702171,0.734938443127846,NA
"ENSG00000163060-n",0.235033153366215,-1.33018753258348,4.99628105533896,-0.266235529556941,0.790057821504711,NA
"ENSG00000116497-n",118.551100336803,0.067165470556753,0.387050870185758,0.173531377217982,0.862233766539662,0.956886651473701
"ENSG00000071859-c",16.2992483315546,-0.0584445159846581,0.771391561884996,-0.0757650444630756,0.939606026637304,NA
"ENSG00000116497-l",36.5316333753374,-0.281084494000439,0.527338692983377,-0.533024596413029,0.594016554023928,0.845281220488794
"ENSG00000196470-c",0,NA,NA,NA,NA,NA
"ENSG00000146576-n",29.7422602212178,1.12498863370721,0.588966275320318,1.91010704831166,0.0561194316879806,0.266407870314249
"ENSG00000048828-c",146.033887866831,0.736559642260968,0.378203367554981,1.94752269664519,0.0514721014029997,0.255073756574673
"ENSG00000048828-l",90.121654993029,0.230438596506354,0.416550114781639,0.553207377285572,0.580121415917061,0.83712544053561
"ENSG00000048828-n",23.1475474135746,0.128129800009929,0.648942476221905,0.197444002673228,0.843480098138272,0.949594802999899
"ENSG00000196470-l",17.683646179582,0.154016208136567,0.701661940319058,0.219502012702204,0.82625901218467,0.942259107489917
"ENSG00000162976-c",2.09987513313284,1.74547643296773,1.96696674289673,0.887394989910803,0.374866279922762,NA
"ENSG00000158055-l",4.99748585249429,0.104133687554447,1.24685461334211,0.0835171049135583,0.933440377151741,NA
"ENSG00000171960-l",6.8310128378707,-0.614203572501374,1.17227184969292,-0.523942951169788,0.600318219699848,NA
"ENSG00000158055-c",3.51535372551845,0.521024970766672,1.46144651361423,0.356513198336731,0.721456269734919,NA
"ENSG00000162976-l",1.59058511093426,0.250749467399821,2.26936155425279,0.110493397109824,0.912018086150503,NA
"ENSG00000168944-n",2.44320190982413,1.254468286872,1.87782191443697,0.668044332227385,0.504105294417268,NA
"ENSG00000146576-c",34.5853107339424,1.38474830954211,0.555670762066045,2.49203018059374,0.0127015244140334,0.105293927052409
"ENSG00000168944-c",107.295128348685,0.0510004073856808,0.448634935841733,0.1136790813894,0.909492195640716,0.970806991673033
"ENSG00000256525-c",60.2377636171367,-1.07708714028047,0.486059729119498,-2.21595634394897,0.0266944921360277,0.167964214370692
"ENSG00000155666-n",1.67536583097388,-2.52762452535479,2.40956457430953,-1.04899638395418,0.294179782694828,NA
"ENSG00000256525-l",11.0224607723951,-0.766049931688147,0.866580273427485,-0.883991887627765,0.376700592073314,NA
"ENSG00000256525-n",9.82244092034196,-0.353090256781196,0.91106677397606,-0.387556946282045,0.698343935212029,NA
