Well,Fluor,Target,Sample,Cq
A01,SYBR,ACTB,HEK_DMSO_4,14.7294592506442
A02,SYBR,ACTB,HEK_DMSO_4,14.7487375592856
A03,SYBR,ACTB,HEK_DMSO_4,14.7613448963356
A04,SYBR,ACTB,HEK_DMSO_5,14.8558489291838
A05,SYBR,ACTB,HEK_DMSO_5,14.9789511547306
A06,SYBR,ACTB,HEK_DMSO_5,14.9161321499826
A07,SYBR,ACTB,HEK_SMG1i_4,14.9968136939198
A08,SYBR,ACTB,HEK_SMG1i_4,15.1411032898657
A09,SYBR,ACTB,HEK_SMG1i_4,15.2694435612234
A10,SYBR,ACTB,HEK_SMG1i_5,14.8826742167925
A11,SYBR,ACTB,HEK_SMG1i_5,15.0610013253416
A12,SYBR,ACTB,HEK_SMG1i_5,15.1126747143753
B01,SYBR,SRSF3_NOR,HEK_DMSO_4,18.5661112670259
B02,SYBR,SRSF3_NOR,HEK_DMSO_4,18.5256334347269
B03,SYBR,SRSF3_NOR,HEK_DMSO_4,18.4577157008034
B04,SYBR,SRSF3_NOR,HEK_DMSO_5,18.6661574298267
B05,SYBR,SRSF3_NOR,HEK_DMSO_5,18.8882328313811
B06,SYBR,SRSF3_NOR,HEK_DMSO_5,18.6680460738028
B07,SYBR,SRSF3_NOR,HEK_SMG1i_4,19.1381035472429
B08,SYBR,SRSF3_NOR,HEK_SMG1i_4,18.9703107570064
B09,SYBR,SRSF3_NOR,HEK_SMG1i_4,19.0813641932575
B10,SYBR,SRSF3_NOR,HEK_SMG1i_5,18.9499905129814
B11,SYBR,SRSF3_NOR,HEK_SMG1i_5,18.9618055911987
B12,SYBR,SRSF3_NOR,HEK_SMG1i_5,18.959905683481
C01,SYBR,SRSF3_PTC,HEK_DMSO_4,20.1123893184073
C02,SYBR,SRSF3_PTC,HEK_DMSO_4,20.2153431053301
C03,SYBR,SRSF3_PTC,HEK_DMSO_4,20.0897951201931
C04,SYBR,SRSF3_PTC,HEK_DMSO_5,20.1784893074146
