Well,Fluor,Target,Sample,Cq
C05,SYBR,SRSF3_PTC,HEK_DMSO_5,20.2259782696627
C06,SYBR,SRSF3_PTC,HEK_DMSO_5,20.1983299042186
C07,SYBR,SRSF3_PTC,HEK_SMG1i_4,18.1879713174613
C08,SYBR,SRSF3_PTC,HEK_SMG1i_4,18.1671642387198
C09,SYBR,SRSF3_PTC,HEK_SMG1i_4,18.0406285413632
C10,SYBR,SRSF3_PTC,HEK_SMG1i_5,18.147451790638
C11,SYBR,SRSF3_PTC,HEK_SMG1i_5,18.1085975909043
C12,SYBR,SRSF3_PTC,HEK_SMG1i_5,18.0171832954808
D01,SYBR,BRD2,HEK_DMSO_4,16.1053802932567
D02,SYBR,BRD2,HEK_DMSO_4,16.0758670183663
D03,SYBR,BRD2,HEK_DMSO_4,16.0644640942028
D04,SYBR,BRD2,HEK_DMSO_5,16.0325834720962
D05,SYBR,BRD2,HEK_DMSO_5,16.2290276229966
D06,SYBR,BRD2,HEK_DMSO_5,16.3174129594496
D07,SYBR,BRD2,HEK_SMG1i_4,14.6680110415661
D08,SYBR,BRD2,HEK_SMG1i_4,14.6007760712413
D09,SYBR,BRD2,HEK_SMG1i_4,14.7249934832139
D10,SYBR,BRD2,HEK_SMG1i_5,14.8323619196296
D11,SYBR,BRD2,HEK_SMG1i_5,14.9433400732495
D12,SYBR,BRD2,HEK_SMG1i_5,14.5321647366736
E01,SYBR,CAPN1,HEK_DMSO_4,21.6738715673822
E02,SYBR,CAPN1,HEK_DMSO_4,21.7986145171221
E03,SYBR,CAPN1,HEK_DMSO_4,21.8542412571827
E04,SYBR,CAPN1,HEK_DMSO_5,21.7308490568441
E05,SYBR,CAPN1,HEK_DMSO_5,21.8434119139149
E06,SYBR,CAPN1,HEK_DMSO_5,21.9010651354784
E07,SYBR,CAPN1,HEK_SMG1i_4,21.8237251039522
E08,SYBR,CAPN1,HEK_SMG1i_4,21.8452288800048
E09,SYBR,CAPN1,HEK_SMG1i_4,21.8057262582031
E10,SYBR,CAPN1,HEK_SMG1i_5,21.9071328357026
E11,SYBR,CAPN1,HEK_SMG1i_5,21.9194552824513
E12,SYBR,CAPN1,HEK_SMG1i_5,21.8079630570633
F01,SYBR,DAZAP1,HEK_DMSO_4,16.9157166952677
F02,SYBR,DAZAP1,HEK_DMSO_4,17.0156385754877
F03,SYBR,DAZAP1,HEK_DMSO_4,16.96205975154
F04,SYBR,DAZAP1,HEK_DMSO_5,16.9423807760479
F05,SYBR,DAZAP1,HEK_DMSO_5,17.0248748654851
F06,SYBR,DAZAP1,HEK_DMSO_5,17.047626268706
F07,SYBR,DAZAP1,HEK_SMG1i_4,17.2975010519222
F08,SYBR,DAZAP1,HEK_SMG1i_4,17.2891227249623
F09,SYBR,DAZAP1,HEK_SMG1i_4,17.2348514767398
F10,SYBR,DAZAP1,HEK_SMG1i_5,17.4570255910347
F11,SYBR,DAZAP1,HEK_SMG1i_5,17.3700356163259
F12,SYBR,DAZAP1,HEK_SMG1i_5,17.2912914693494
G01,SYBR,EIF4G1,HEK_DMSO_4,17.190258112947
G02,SYBR,EIF4G1,HEK_DMSO_4,17.3319539801141
G03,SYBR,EIF4G1,HEK_DMSO_4,17.3234770803855
G04,SYBR,EIF4G1,HEK_DMSO_5,17.4349718013947
G05,SYBR,EIF4G1,HEK_DMSO_5,17.5787408648917
G06,SYBR,EIF4G1,HEK_DMSO_5,17.5630660297541
G07,SYBR,EIF4G1,HEK_SMG1i_4,17.9044515506977
G08,SYBR,EIF4G1,HEK_SMG1i_4,17.8506653669472
G09,SYBR,EIF4G1,HEK_SMG1i_4,17.9118120421539
G10,SYBR,EIF4G1,HEK_SMG1i_5,17.7433289696826
G11,SYBR,EIF4G1,HEK_SMG1i_5,17.7953642764609
G12,SYBR,EIF4G1,HEK_SMG1i_5,17.8802199615449
H01,SYBR,EPHA2,HEK_DMSO_4,21.6010995804123
H02,SYBR,EPHA2,HEK_DMSO_4,21.7920195979096
H03,SYBR,EPHA2,HEK_DMSO_4,21.7893292891943
H04,SYBR,EPHA2,HEK_DMSO_5,21.6869672857786
H05,SYBR,EPHA2,HEK_DMSO_5,21.7350894813953
H06,SYBR,EPHA2,HEK_DMSO_5,21.7636179457033
H07,SYBR,EPHA2,HEK_SMG1i_4,21.7120377930705
H08,SYBR,EPHA2,HEK_SMG1i_4,21.7839148393895
H09,SYBR,EPHA2,HEK_SMG1i_4,21.7562831708057
H10,SYBR,EPHA2,HEK_SMG1i_5,21.8076670417493
H11,SYBR,EPHA2,HEK_SMG1i_5,21.8059328045939
H12,SYBR,EPHA2,HEK_SMG1i_5,21.75177812942
