Well,Fluor,Target,Sample,Cq
G11,SYBR,CAPN1,HCT_DMSO_1,21.3541171498179
G12,SYBR,CAPN1,HCT_DMSO_1,21.4162307877344
H01,SYBR,EPHA2,HCT_SMG1i_1,19.2042216380634
H02,SYBR,EPHA2,HCT_SMG1i_1,19.4401500067579
H03,SYBR,EPHA2,HCT_SMG1i_1,19.2288533543169
H04,SYBR,EIF4G1,HCT_SMG1i_1,20.0792315487021
H05,SYBR,EIF4G1,HCT_SMG1i_1,20.3814727729525
H06,SYBR,EIF4G1,HCT_SMG1i_1,20.2692034609398
H07,SYBR,DAZAP1,HCT_SMG1i_1,19.6231840059121
H08,SYBR,DAZAP1,HCT_SMG1i_1,19.6596324156686
H09,SYBR,DAZAP1,HCT_SMG1i_1,19.5838680744811
H10,SYBR,CAPN1,HCT_SMG1i_1,21.6380548564561
H11,SYBR,CAPN1,HCT_SMG1i_1,21.5224720448099
H12,SYBR,CAPN1,HCT_SMG1i_1,21.5666838746808
