Well,Fluor,Target,Sample,Cq
A01,SYBR,FOXK1,HEK_DMSO_4,22.14595602051
A02,SYBR,FOXK1,HEK_DMSO_4,22.4034413591685
A03,SYBR,FOXK1,HEK_DMSO_4,22.5414253990531
A04,SYBR,FOXK1,HEK_DMSO_5,22.6211546124396
A05,SYBR,FOXK1,HEK_DMSO_5,22.7238856858017
A06,SYBR,FOXK1,HEK_DMSO_5,22.7187400627155
A07,SYBR,FOXK1,HEK_SMG1i_4,22.2196839744679
A08,SYBR,FOXK1,HEK_SMG1i_4,22.325856187234
A09,SYBR,FOXK1,HEK_SMG1i_4,22.5293619722362
A10,SYBR,FOXK1,HEK_SMG1i_5,22.3119412417017
A11,SYBR,FOXK1,HEK_SMG1i_5,22.2466321690383
A12,SYBR,FOXK1,HEK_SMG1i_5,22.018334384853
B01,SYBR,MAPK3,HEK_DMSO_4,19.9964039273525
B02,SYBR,MAPK3,HEK_DMSO_4,20.0398659086977
B03,SYBR,MAPK3,HEK_DMSO_4,20.0277970303313
B04,SYBR,MAPK3,HEK_DMSO_5,19.9720177396569
B05,SYBR,MAPK3,HEK_DMSO_5,20.0936585349399
B06,SYBR,MAPK3,HEK_DMSO_5,20.1447268293116
B07,SYBR,MAPK3,HEK_SMG1i_4,19.8634359644131
B08,SYBR,MAPK3,HEK_SMG1i_4,19.7990233514944
B09,SYBR,MAPK3,HEK_SMG1i_4,19.852786713354
B10,SYBR,MAPK3,HEK_SMG1i_5,19.760122838517
B11,SYBR,MAPK3,HEK_SMG1i_5,19.7664023770852
B12,SYBR,MAPK3,HEK_SMG1i_5,19.7404183119469
C01,SYBR,MYH9,HEK_DMSO_4,21.4873756153053
C02,SYBR,MYH9,HEK_DMSO_4,21.9438210929042
C03,SYBR,MYH9,HEK_DMSO_4,21.8674813754906
C04,SYBR,MYH9,HEK_DMSO_5,21.7568082243535
C05,SYBR,MYH9,HEK_DMSO_5,21.848139809046
C06,SYBR,MYH9,HEK_DMSO_5,21.9898092596017
C07,SYBR,MYH9,HEK_SMG1i_4,21.6146576388589
C08,SYBR,MYH9,HEK_SMG1i_4,21.5599212854099
C09,SYBR,MYH9,HEK_SMG1i_4,21.8087300758419
C10,SYBR,MYH9,HEK_SMG1i_5,21.8243395566061
C11,SYBR,MYH9,HEK_SMG1i_5,21.5920916584199
C12,SYBR,MYH9,HEK_SMG1i_5,21.208517381821
D01,SYBR,SLC7A5,HEK_DMSO_4,21.0806034516853
D02,SYBR,SLC7A5,HEK_DMSO_4,21.0781023248066
D03,SYBR,SLC7A5,HEK_DMSO_4,21.1136548429181
D04,SYBR,SLC7A5,HEK_DMSO_5,21.1056137842686
D05,SYBR,SLC7A5,HEK_DMSO_5,21.1864313465596
D06,SYBR,SLC7A5,HEK_DMSO_5,21.2835013366794
D07,SYBR,SLC7A5,HEK_SMG1i_4,20.0611484924078
D08,SYBR,SLC7A5,HEK_SMG1i_4,19.9945497271958
D09,SYBR,SLC7A5,HEK_SMG1i_4,20.0868073930228
