Well,Fluor,Target,Sample,Cq
A01,SYBR,ACTB,HEK_DMSO_6,14.96342314
A02,SYBR,ACTB,HEK_DMSO_6,14.95908058
A03,SYBR,ACTB,HEK_DMSO_6,14.94506514
A04,SYBR,DYNC1H1,HEK_DMSO_6,19.8875819
A05,SYBR,DYNC1H1,HEK_DMSO_6,19.86587974
A06,SYBR,DYNC1H1,HEK_DMSO_6,19.7898291
A07,SYBR,FNBP4,HEK_DMSO_6,20.36898447
A08,SYBR,FNBP4,HEK_DMSO_6,20.32432354
A09,SYBR,FNBP4,HEK_DMSO_6,20.26525701
A10,SYBR,PCNT,HEK_DMSO_6,20.87296046
A11,SYBR,PCNT,HEK_DMSO_6,20.82094506
A12,SYBR,PCNT,HEK_DMSO_6,20.87513766
B01,SYBR,ACTB,HEK_SMG1i_6,15.49054817
B02,SYBR,ACTB,HEK_SMG1i_6,15.54809265
B03,SYBR,ACTB,HEK_SMG1i_6,15.56089981
B04,SYBR,DYNC1H1,HEK_SMG1i_6,19.69843836
B05,SYBR,DYNC1H1,HEK_SMG1i_6,19.5903762
B06,SYBR,DYNC1H1,HEK_SMG1i_6,19.64896147
B07,SYBR,FNBP4,HEK_SMG1i_6,18.84623733
B08,SYBR,FNBP4,HEK_SMG1i_6,18.82012263
B09,SYBR,FNBP4,HEK_SMG1i_6,18.83423395
B10,SYBR,PCNT,HEK_SMG1i_6,20.25018187
B11,SYBR,PCNT,HEK_SMG1i_6,20.26349201
B12,SYBR,PCNT,HEK_SMG1i_6,20.16896203
C01,SYBR,ACTB,HEK_DMSO_7,15.01817525
C02,SYBR,ACTB,HEK_DMSO_7,14.95442118
C03,SYBR,ACTB,HEK_DMSO_7,14.98739932
C04,SYBR,DYNC1H1,HEK_DMSO_7,19.87907279
C05,SYBR,DYNC1H1,HEK_DMSO_7,19.88951521
C06,SYBR,DYNC1H1,HEK_DMSO_7,19.88668541
C07,SYBR,FNBP4,HEK_DMSO_7,20.40028161
C08,SYBR,FNBP4,HEK_DMSO_7,20.50126501
C09,SYBR,FNBP4,HEK_DMSO_7,20.39210333
C10,SYBR,PCNT,HEK_DMSO_7,21.13656466
C11,SYBR,PCNT,HEK_DMSO_7,20.94881301
C12,SYBR,PCNT,HEK_DMSO_7,20.92658173
D01,SYBR,ACTB,HEK_SMG1i_7,15.54998571
D02,SYBR,ACTB,HEK_SMG1i_7,15.57296162
D03,SYBR,ACTB,HEK_SMG1i_7,15.40356514
D04,SYBR,DYNC1H1,HEK_SMG1i_7,19.5768381
D05,SYBR,DYNC1H1,HEK_SMG1i_7,19.60888465
D06,SYBR,DYNC1H1,HEK_SMG1i_7,19.62680361
D07,SYBR,FNBP4,HEK_SMG1i_7,18.84227703
D08,SYBR,FNBP4,HEK_SMG1i_7,18.80337441
D09,SYBR,FNBP4,HEK_SMG1i_7,18.81409643
D10,SYBR,PCNT,HEK_SMG1i_7,20.30018657
D11,SYBR,PCNT,HEK_SMG1i_7,20.23792466
D12,SYBR,PCNT,HEK_SMG1i_7,20.21802914
E01,SYBR,ACTB,HEK_DMSO_8,15.10896882
E02,SYBR,ACTB,HEK_DMSO_8,15.04775779
E03,SYBR,ACTB,HEK_DMSO_8,15.0906374
E04,SYBR,DYNC1H1,HEK_DMSO_8,19.98357306
E05,SYBR,DYNC1H1,HEK_DMSO_8,19.96179451
E06,SYBR,DYNC1H1,HEK_DMSO_8,19.93327321
E07,SYBR,FNBP4,HEK_DMSO_8,20.53516455
E08,SYBR,FNBP4,HEK_DMSO_8,20.56561925
E09,SYBR,FNBP4,HEK_DMSO_8,20.66247776
E10,SYBR,PCNT,HEK_DMSO_8,21.17496407
E11,SYBR,PCNT,HEK_DMSO_8,21.15239848
E12,SYBR,PCNT,HEK_DMSO_8,21.07911958
F01,SYBR,ACTB,HEK_SMG1i_8,15.78368802
F02,SYBR,ACTB,HEK_SMG1i_8,15.86523555
F03,SYBR,ACTB,HEK_SMG1i_8,15.78470996
F04,SYBR,DYNC1H1,HEK_SMG1i_8,19.75242476
F05,SYBR,DYNC1H1,HEK_SMG1i_8,19.75192183
F06,SYBR,DYNC1H1,HEK_SMG1i_8,19.90003523
F07,SYBR,FNBP4,HEK_SMG1i_8,18.88463931
F08,SYBR,FNBP4,HEK_SMG1i_8,18.93124954
F09,SYBR,FNBP4,HEK_SMG1i_8,18.83894852
F10,SYBR,PCNT,HEK_SMG1i_8,20.62627161
F11,SYBR,PCNT,HEK_SMG1i_8,20.61577919
F12,SYBR,PCNT,HEK_SMG1i_8,20.37197644
