Well,Fluor,Target,Sample,Cq
A01,SYBR,ACTB,HEK_DMSO_1,15.2420499398185
A02,SYBR,ACTB,HEK_DMSO_1,15.1573556581637
A03,SYBR,ACTB,HEK_DMSO_1,15.230528286719
A04,SYBR,SRSF3_NOR,HEK_DMSO_1,20.019919943306
A05,SYBR,SRSF3_NOR,HEK_DMSO_1,19.2627462413643
A06,SYBR,SRSF3_NOR,HEK_DMSO_1,19.8805969150632
A07,SYBR,SRSF3_PTC,HEK_DMSO_1,20.5657865440504
A08,SYBR,SRSF3_PTC,HEK_DMSO_1,20.8888544792022
A09,SYBR,SRSF3_PTC,HEK_DMSO_1,20.5115990988608
A10,SYBR,BRD2,HEK_DMSO_1,16.896488150103
A11,SYBR,BRD2,HEK_DMSO_1,16.7611384017314
A12,SYBR,BRD2,HEK_DMSO_1,16.8406379956445
B01,SYBR,ACTB,HEK_SMG1i_1,15.8961027117668
B02,SYBR,ACTB,HEK_SMG1i_1,15.8777004449948
B03,SYBR,ACTB,HEK_SMG1i_1,15.8941804998024
B04,SYBR,SRSF3_NOR,HEK_SMG1i_1,20.0657070996428
B05,SYBR,SRSF3_NOR,HEK_SMG1i_1,19.9526201359373
B06,SYBR,SRSF3_NOR,HEK_SMG1i_1,19.8472329872777
B07,SYBR,SRSF3_PTC,HEK_SMG1i_1,18.4158043317402
B08,SYBR,SRSF3_PTC,HEK_SMG1i_1,18.3438675216445
B09,SYBR,SRSF3_PTC,HEK_SMG1i_1,18.3438658818817
B10,SYBR,BRD2,HEK_SMG1i_1,15.7082522611919
B11,SYBR,BRD2,HEK_SMG1i_1,15.7139893738784
B12,SYBR,BRD2,HEK_SMG1i_1,15.7586751089496
C01,SYBR,ACTB,HEK_DMSO_2,14.9688391075905
C02,SYBR,ACTB,HEK_DMSO_2,14.9501777737055
C03,SYBR,ACTB,HEK_DMSO_2,14.8866300944042
C04,SYBR,SRSF3_NOR,HEK_DMSO_2,20.9896389776925
C05,SYBR,SRSF3_NOR,HEK_DMSO_2,20.9769297787566
C06,SYBR,SRSF3_NOR,HEK_DMSO_2,20.9180483686591
C07,SYBR,SRSF3_PTC,HEK_DMSO_2,21.8755619702271
