Well,Fluor,Target,Sample,Cq
A01,SYBR,SLC7A5,HEK_DMSO_1,22.37014077
A02,SYBR,SLC7A5,HEK_DMSO_1,22.28304419
A03,SYBR,SLC7A5,HEK_DMSO_1,22.51131521
A04,SYBR,TRIM28,HEK_DMSO_1,31.95744951
A05,SYBR,TRIM28,HEK_DMSO_1,31.9526283
A06,SYBR,TRIM28,HEK_DMSO_1,28.59987606
A07,SYBR,USF2,HEK_DMSO_1,19.04594017
A08,SYBR,USF2,HEK_DMSO_1,18.84057728
A09,SYBR,USF2,HEK_DMSO_1,18.85272033
B01,SYBR,SLC7A5,HEK_SMG1i_1,21.76125227
B02,SYBR,SLC7A5,HEK_SMG1i_1,21.66230514
B03,SYBR,SLC7A5,HEK_SMG1i_1,21.63455903
B04,SYBR,TRIM28,HEK_SMG1i_1,31.98301703
B05,SYBR,TRIM28,HEK_SMG1i_1,29.14295018
B06,SYBR,TRIM28,HEK_SMG1i_1,28.04581771
B07,SYBR,USF2,HEK_SMG1i_1,19.32173526
B08,SYBR,USF2,HEK_SMG1i_1,19.29684596
B09,SYBR,USF2,HEK_SMG1i_1,19.28449971
C01,SYBR,SLC7A5,HEK_DMSO_2,19.68874445
C02,SYBR,SLC7A5,HEK_DMSO_2,19.7926568
C03,SYBR,SLC7A5,HEK_DMSO_2,19.7829364
C04,SYBR,TRIM28,HEK_DMSO_2,32.33649488
C05,SYBR,TRIM28,HEK_DMSO_2,33.02598076
C06,SYBR,TRIM28,HEK_DMSO_2,32.99055487
C07,SYBR,USF2,HEK_DMSO_2,20.95621491
C08,SYBR,USF2,HEK_DMSO_2,20.99623336
C09,SYBR,USF2,HEK_DMSO_2,20.90118775
D01,SYBR,SLC7A5,HEK_SMG1i_2,19.42011218
D02,SYBR,SLC7A5,HEK_SMG1i_2,19.3959503
D03,SYBR,SLC7A5,HEK_SMG1i_2,19.00321866
D04,SYBR,TRIM28,HEK_SMG1i_2,31.11815116
D05,SYBR,TRIM28,HEK_SMG1i_2,30.28414799
D06,SYBR,TRIM28,HEK_SMG1i_2,30.34459738
D07,SYBR,USF2,HEK_SMG1i_2,20.91825944
D08,SYBR,USF2,HEK_SMG1i_2,21.27019568
D09,SYBR,USF2,HEK_SMG1i_2,21.28612454
E01,SYBR,SLC7A5,HEK_DMSO_3,22.39685082
E02,SYBR,SLC7A5,HEK_DMSO_3,22.53911794
E03,SYBR,SLC7A5,HEK_DMSO_3,22.51918862
E04,SYBR,TRIM28,HEK_DMSO_3,28.25181075
E05,SYBR,TRIM28,HEK_DMSO_3,32.15920062
E06,SYBR,TRIM28,HEK_DMSO_3,27.55978536
E07,SYBR,USF2,HEK_DMSO_3,18.94631537
E08,SYBR,USF2,HEK_DMSO_3,19.02570132
E09,SYBR,USF2,HEK_DMSO_3,19.03193244
F01,SYBR,SLC7A5,HEK_SMG1i_3,22.72326595
F02,SYBR,SLC7A5,HEK_SMG1i_3,22.7883771
F03,SYBR,SLC7A5,HEK_SMG1i_3,22.86970152
F04,SYBR,TRIM28,HEK_SMG1i_3,31.51729975
F05,SYBR,TRIM28,HEK_SMG1i_3,36.27403163
F06,SYBR,TRIM28,HEK_SMG1i_3,32.07364629
F07,SYBR,USF2,HEK_SMG1i_3,19.88206933
F08,SYBR,USF2,HEK_SMG1i_3,19.90139842
F09,SYBR,USF2,HEK_SMG1i_3,19.88621639
G01,SYBR,SLC7A5,HCT_DMSO_1,19.86101506
G02,SYBR,SLC7A5,HCT_DMSO_1,19.78711817
G03,SYBR,SLC7A5,HCT_DMSO_1,19.88474699
G04,SYBR,TRIM28,HCT_DMSO_1,32.67709343
G05,SYBR,TRIM28,HCT_DMSO_1,32.90810779
G06,SYBR,TRIM28,HCT_DMSO_1,32.96220754
G07,SYBR,USF2,HCT_DMSO_1,20.96351344
G08,SYBR,USF2,HCT_DMSO_1,20.98567844
G09,SYBR,USF2,HCT_DMSO_1,20.94358846
H01,SYBR,SLC7A5,HCT_SMG1i_1,19.66715543
H02,SYBR,SLC7A5,HCT_SMG1i_1,19.76299019
H03,SYBR,SLC7A5,HCT_SMG1i_1,19.74264232
H04,SYBR,TRIM28,HCT_SMG1i_1,29.85994187
H05,SYBR,TRIM28,HCT_SMG1i_1,30.16756471
H06,SYBR,TRIM28,HCT_SMG1i_1,29.78146358
H07,SYBR,USF2,HCT_SMG1i_1,21.49804983
H08,SYBR,USF2,HCT_SMG1i_1,21.58018859
H09,SYBR,USF2,HCT_SMG1i_1,21.62309828
