Well,Fluor,Target,Sample,Cq
A01,SYBR,FOXK1,HEK_DMSO_1,22.506162843106
A02,SYBR,FOXK1,HEK_DMSO_1,22.7886450159734
A03,SYBR,FOXK1,HEK_DMSO_1,22.7965834284465
A04,SYBR,MAPK3,HEK_DMSO_1,20.721583132793
A05,SYBR,MAPK3,HEK_DMSO_1,20.8357092122588
A06,SYBR,MAPK3,HEK_DMSO_1,20.8078082837405
A07,SYBR,MYH9,HEK_DMSO_1,21.4577530421367
A08,SYBR,MYH9,HEK_DMSO_1,21.3249021167812
A09,SYBR,MYH9,HEK_DMSO_1,21.4202414751106
A10,SYBR,NOC2L,HEK_DMSO_1,19.8530692853671
A11,SYBR,NOC2L,HEK_DMSO_1,19.8019144608223
A12,SYBR,NOC2L,HEK_DMSO_1,19.7140554993028
B01,SYBR,FOXK1,HEK_SMG1i_1,22.4652042879252
B02,SYBR,FOXK1,HEK_SMG1i_1,22.6828736200883
B03,SYBR,FOXK1,HEK_SMG1i_1,22.7728089594156
B04,SYBR,MAPK3,HEK_SMG1i_1,20.5733669471602
B05,SYBR,MAPK3,HEK_SMG1i_1,20.6583037447712
B06,SYBR,MAPK3,HEK_SMG1i_1,20.6285348704385
B07,SYBR,MYH9,HEK_SMG1i_1,21.4138634092439
B08,SYBR,MYH9,HEK_SMG1i_1,21.3860366152186
B09,SYBR,MYH9,HEK_SMG1i_1,21.3379322138294
B10,SYBR,NOC2L,HEK_SMG1i_1,20.2728035190933
B11,SYBR,NOC2L,HEK_SMG1i_1,20.1875153528894
B12,SYBR,NOC2L,HEK_SMG1i_1,20.1128033978082
C01,SYBR,FOXK1,HEK_DMSO_2,21.9542013466563
C02,SYBR,FOXK1,HEK_DMSO_2,22.1525544291336
C03,SYBR,FOXK1,HEK_DMSO_2,22.1915450995601
C04,SYBR,MAPK3,HEK_DMSO_2,21.2851508898486
C05,SYBR,MAPK3,HEK_DMSO_2,21.3024410337245
C06,SYBR,MAPK3,HEK_DMSO_2,21.3286449666038
C07,SYBR,MYH9,HEK_DMSO_2,21.5348648950931
C08,SYBR,MYH9,HEK_DMSO_2,21.6457816936182
C09,SYBR,MYH9,HEK_DMSO_2,21.4935610535201
C10,SYBR,NOC2L,HEK_DMSO_2,20.1895704082053
C11,SYBR,NOC2L,HEK_DMSO_2,20.0414002071907
C12,SYBR,NOC2L,HEK_DMSO_2,20.0591758584681
D01,SYBR,FOXK1,HEK_SMG1i_2,21.8732207823376
D02,SYBR,FOXK1,HEK_SMG1i_2,21.899899498908
D03,SYBR,FOXK1,HEK_SMG1i_2,22.0046211349559
D04,SYBR,MAPK3,HEK_SMG1i_2,20.6713056534862
D05,SYBR,MAPK3,HEK_SMG1i_2,20.6715782031712
D06,SYBR,MAPK3,HEK_SMG1i_2,20.735819766365
D07,SYBR,MYH9,HEK_SMG1i_2,20.9921010925392
D08,SYBR,MYH9,HEK_SMG1i_2,21.0499574735165
D09,SYBR,MYH9,HEK_SMG1i_2,21.0064551036854
D10,SYBR,NOC2L,HEK_SMG1i_2,20.5152520376978
D11,SYBR,NOC2L,HEK_SMG1i_2,20.4401147100062
D12,SYBR,NOC2L,HEK_SMG1i_2,20.1921381518509
E01,SYBR,FOXK1,HEK_DMSO_3,22.9069475140981
E02,SYBR,FOXK1,HEK_DMSO_3,22.8505090552697
E03,SYBR,FOXK1,HEK_DMSO_3,22.9351928174857
E04,SYBR,MAPK3,HEK_DMSO_3,20.6534455345909
E05,SYBR,MAPK3,HEK_DMSO_3,20.7458094488844
E06,SYBR,MAPK3,HEK_DMSO_3,20.9840200056756
E07,SYBR,MYH9,HEK_DMSO_3,21.689997667649
E08,SYBR,MYH9,HEK_DMSO_3,21.6364885071332
E09,SYBR,MYH9,HEK_DMSO_3,21.6806205763489
E10,SYBR,NOC2L,HEK_DMSO_3,20.0624804479972
E11,SYBR,NOC2L,HEK_DMSO_3,19.9863073194148
E12,SYBR,NOC2L,HEK_DMSO_3,20.0191315828883
F01,SYBR,FOXK1,HEK_SMG1i_3,22.5588971619968
F02,SYBR,FOXK1,HEK_SMG1i_3,22.7124416587374
F03,SYBR,FOXK1,HEK_SMG1i_3,22.734120118925
F04,SYBR,MAPK3,HEK_SMG1i_3,20.7039450917822
F05,SYBR,MAPK3,HEK_SMG1i_3,20.6761560134278
F06,SYBR,MAPK3,HEK_SMG1i_3,20.7146845783234
F07,SYBR,MYH9,HEK_SMG1i_3,21.4796311008704
F08,SYBR,MYH9,HEK_SMG1i_3,21.504347620956
F09,SYBR,MYH9,HEK_SMG1i_3,21.4938184797574
F10,SYBR,NOC2L,HEK_SMG1i_3,20.2969825417608
F11,SYBR,NOC2L,HEK_SMG1i_3,20.1128174273417
F12,SYBR,NOC2L,HEK_SMG1i_3,20.1684971027574
G01,SYBR,FOXK1,HCT_DMSO_1,21.985697603633
G02,SYBR,FOXK1,HCT_DMSO_1,22.0504738715883
G03,SYBR,FOXK1,HCT_DMSO_1,22.224174892647
G04,SYBR,MAPK3,HCT_DMSO_1,21.3317772652203
G05,SYBR,MAPK3,HCT_DMSO_1,21.3228939855401
G06,SYBR,MAPK3,HCT_DMSO_1,21.4199264110681
G07,SYBR,MYH9,HCT_DMSO_1,21.4398311056245
G08,SYBR,MYH9,HCT_DMSO_1,21.4868816918154
G09,SYBR,MYH9,HCT_DMSO_1,21.5363223770405
G10,SYBR,NOC2L,HCT_DMSO_1,20.373363362253
G11,SYBR,NOC2L,HCT_DMSO_1,20.1969319733044
G12,SYBR,NOC2L,HCT_DMSO_1,20.2300500876256
H01,SYBR,FOXK1,HCT_SMG1i_1,21.8558469401717
H02,SYBR,FOXK1,HCT_SMG1i_1,21.922169378846
H03,SYBR,FOXK1,HCT_SMG1i_1,21.9622030380096
H04,SYBR,MAPK3,HCT_SMG1i_1,20.7977983223014
H05,SYBR,MAPK3,HCT_SMG1i_1,20.7807248109129
H06,SYBR,MAPK3,HCT_SMG1i_1,20.8390490396121
H07,SYBR,MYH9,HCT_SMG1i_1,21.0162004130239
H08,SYBR,MYH9,HCT_SMG1i_1,21.029707832766
H09,SYBR,MYH9,HCT_SMG1i_1,21.0428320653374
H10,SYBR,NOC2L,HCT_SMG1i_1,20.8335509093747
H11,SYBR,NOC2L,HCT_SMG1i_1,20.7324264851154
H12,SYBR,NOC2L,HCT_SMG1i_1,20.6896335380892
