baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id
643.3270882841567	0.3777729459388411	0.13086532986455338	2.886730552162586	0.0038926743555610433	0.02429291779388834	ENSG00000188976
161.74779384020414	0.2628653316109736	0.22568198660724736	1.1647599153247268	0.2441161886542806	0.46515306424283637	ENSG00000187961
1.4188110599777393	1.2504996405382227	2.486409216926326	0.5029339627706487	0.6150107018621713	NA	ENSG00000187583
786.3181419168496	-0.25514013218928044	0.11409930320282015	-2.2361234909186916	0.02534368308766293	0.09918260442250436	ENSG00000188290
86.0435632629846	0.20610180714783272	0.3174348181613917	0.6492728439230175	0.5161620352186864	0.7106543903616381	ENSG00000187608
1411.7238356951493	0.23012537930888116	0.10777398366590075	2.1352590994712566	0.03273985183547719	0.11923491009322863	ENSG00000188157
1.0809198634142492	3.5883922007401825	2.968859673262319	1.208676931771953	0.22678698748863171	NA	ENSG00000237330
322.78585748379606	-0.23561688356154728	0.15969701863883512	-1.4753993879773657	0.1401051998223481	0.32576112009034686	ENSG00000176022
7.782797920070466	1.7251999393949753	1.018590749691131	1.6937125532684354	0.09031991787979231	NA	ENSG00000184163
351.8052677958651	0.3668024004060713	0.15605828795845944	2.3504192260760224	0.01875227721158773	0.08020557145809885	ENSG00000160087
25.778674398941245	0.36208351990353604	0.6009661294482693	0.6025023743616884	0.5468397831733931	NA	ENSG00000162572
585.7691798551147	0.05029079733952938	0.12680271433710522	0.39660663103655036	0.6916575619194167	0.8311236000982477	ENSG00000131584
106.65162868824304	0.21924128932076642	0.295379541045433	0.7422358655741983	0.4579444418666857	0.6651453077722183	ENSG00000169972
445.00690495446725	0.265934352221167	0.15324642351253873	1.7353380661403044	0.08268094305974971	0.22991991315580446	ENSG00000127054
114.15142245605045	0.34254419350711574	0.26506813723465733	1.292287323103912	0.19625766043385678	0.402548480465199	ENSG00000224051
30.91331918272959	0.5073909406514788	0.5422038679577329	0.9357936573979441	0.3493794377457231	0.5718525016480385	ENSG00000169962
641.5507306288068	0.2730821453486384	0.11888265955031392	2.297072982566172	0.021614606713581112	0.08853502648315811	ENSG00000107404
1297.9603916999395	0.05998212089530209	0.09789030221955929	0.6127483472343103	0.5400427492007409	0.7300455944988065	ENSG00000221978
240.92748093374792	-0.04317386353536085	0.1922239042354603	-0.2246019489983723	0.822288948545163	0.9107333585802896	ENSG00000242485
31.4079617571799	0.18211236238189188	0.5148020436228087	0.35375221337567986	0.7235245888100937	0.8494923942232108	ENSG00000179403
158.16242454379093	0.36887198516839004	0.22180527817638074	1.6630442169868522	0.0963035847948667	0.25508368875772935	ENSG00000160072
195.9973863619882	0.07067306309670554	0.21769358562820615	0.32464467380957396	0.7454500121707586	0.8639114882292587	ENSG00000197785
12.204908664180252	-0.9478798839868138	0.8102151654481893	-1.1699113080196075	0.24203666274910304	NA	ENSG00000205090
465.30583703439197	-0.16716794437813637	0.13994249793002342	-1.1945473808944493	0.23226391824806655	0.45021124087953096	ENSG00000160075
24.021476329159743	-0.5316354087385511	0.5752377394472832	-0.9242011994021335	0.3553815712874383	NA	ENSG00000228594
623.911650892612	-0.4011964157482755	0.13149908905015278	-3.050944448712205	0.0022812277679986307	0.01590403132595272	ENSG00000189339
9.967166428663	0.7525984227068084	0.869845417949316	0.8652093891361519	0.38692387295127034	NA	ENSG00000008128
497.4138612607315	-0.04483991787410129	0.13074743928265067	-0.3429506391874036	0.7316355947665709	0.8548279913557247	ENSG00000008130
2755.6200387988974	0.003030173415706396	0.07049318499221868	0.042985338455637644	0.9657132212685853	0.9827817302790915	ENSG00000078369
2.4622030612797836	-0.998180893767913	1.8218253217323495	-0.5479015369150518	0.5837595134722275	NA	ENSG00000169885
6.9203313176543695	0.24635237718513767	1.0468937953494275	0.2353174488945283	0.813962353069389	NA	ENSG00000178821
14.546204952378778	-0.03969490039553548	0.7847831870721641	-0.05058072222931729	0.9596596245916257	NA	ENSG00000067606
508.2378506744969	0.2514566884512419	0.13267463662523726	1.8952883146876471	0.05805421542009218	0.1808306225308667	ENSG00000157933
50.26956956800797	-0.5673168501274894	0.4165554598747771	-1.3619239327652397	0.17322189237148963	0.3723955737091806	ENSG00000116151
504.3021006459412	-0.45356281103184226	0.13581110221603213	-3.339659303481453	8.388122634779253e-4	0.007180103429075523	ENSG00000157916
153.05318300377203	-0.46579658617955394	0.23182911395980865	-2.0092238555521003	0.04451339888939493	0.14896030994383178	ENSG00000157911
20.166980022726086	0.5066380423264387	0.6700633122944889	0.7561047337326451	0.44958640404215183	NA	ENSG00000149527
324.8842420835712	-0.269264442256902	0.1680050103916334	-1.6027167382045606	0.10899720637521135	0.27799460055662184	ENSG00000157881
809.9851335539969	-0.682657657336686	0.11815476952636432	-5.7776563745432385	7.57483106205892e-9	3.124353574806442e-7	ENSG00000197921
177.36754225458205	-0.185659971698106	0.21555435848892857	-0.8613139302754668	0.38906516545348047	0.6087208693086564	ENSG00000157870
2.11139816829946	2.1936506773461293	2.2771045216620283	0.9633508942949237	0.33537146056512007	NA	ENSG00000142606
2.1819363803793785	-0.21942959320594954	1.718699280273307	-0.12767189451028102	0.8984086329678875	NA	ENSG00000142611
73.8640024124842	0.16588157882384763	0.32369624322652113	0.5124606241035812	0.6083286714612219	0.7772163461342914	ENSG00000130762
438.651891334358	-0.3441606461132778	0.15172007884352753	-2.268392217672248	0.023305311685564073	0.09338974425105387	ENSG00000162591
108.85530924919199	-0.2928551189132757	0.26822869934034876	-1.0918112775906916	0.274916061040525	0.4979484536984019	ENSG00000158109
