baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_transcript_id
35.04106345677371	-0.1862571631104764	0.3069792191625166	-0.606741927413239	0.5440221927754494	0.8368468031347942	ENST00000457194
145.40233436375945	-0.35196772871848647	0.2764452597278454	-1.273191405289392	0.20295012967561074	0.5877962405654524	ENST00000641506
672.6832044692876	0.5221813016260176	0.15034228220747586	3.4732830575592515	5.141328172504198e-4	0.038026644416185904	ENST00000419783
12501.538134940507	-0.19591414439004903	0.1885800677021758	-1.0388910491826524	0.2988554096763021	0.6808572443418505	ENST00000361390
20691.069063117477	-0.16040282514704207	0.16527036447389112	-0.970548020860582	0.3317734008269408	0.7072731395732359	ENST00000361453
176033.78883656475	-0.06417163162688855	0.11463163171755582	-0.5598073643844038	0.5756108399155617	0.8525773190798742	ENST00000361624
28997.68152531431	-0.014476266391929246	0.12412489155879163	-0.11662661864298651	0.9071559430396963	0.975601969631399	ENST00000361739
8947.491705406224	-0.103267579270854	0.12928427579819834	-0.7987636441731385	0.42442747503186956	0.7720311006479893	ENST00000361851
22496.70782195015	-0.13635005204525477	0.14092616190641538	-0.9675283155430043	0.33327999319110657	0.7080133946964007	ENST00000361899
52661.90775592377	0.035884849776218426	0.12106132801806012	0.2964187686002013	0.7669102937590555	0.9321100350169826	ENST00000362079
11016.304987481482	0.21389316651988113	0.13341299880780655	1.6032408268403704	0.10888149499384016	0.4633188648980561	ENST00000361227
24652.942617615612	-0.01810592024308064	0.09344279698487976	-0.19376475049232966	0.846360088906446	0.9555161409888339	ENST00000361335
80451.61247353537	-0.00154979049111886	0.06987938515280535	-0.022178078523872685	0.9823059040935557	0.9952683198072992	ENST00000361381
17613.898787641403	-0.4818070497206628	0.18360618015324792	-2.6241330728547365	0.008686983722092366	0.15060646472826372	ENST00000361567
5157.366088671574	-0.4136640921518064	0.20145915785375204	-2.053339726815016	0.04003964048800238	0.3016878174831474	ENST00000361681
10630.956188284363	-0.3979802855430033	0.2107090920273072	-1.8887665535164775	0.05892311629459305	0.358885985278706	ENST00000361789
480.8688313289132	-0.14301834944128095	0.11892147907931297	-1.2026284111879983	0.2291201481776706	0.6166210504857603	ENST00000630425
1079.8682509649625	-0.034294590798233236	0.11755647685224846	-0.2917286373028735	0.7704941117710193	0.9328189838872804	ENST00000631021
2210.7787656851992	0.05913544549100347	0.09385559378895529	0.630068417914185	0.5286498216842062	0.8301977973521699	ENST00000612465
115.99900552478941	0.5742611692593113	0.2948707801411511	1.9475011019553017	0.051474687771566906	0.33943155722155666	ENST00000629832
146.21140071583588	-0.12916836535334883	0.1767868835340157	-0.7306445069410109	0.4649963193169283	0.7951311482610176	ENST00000605259
222.41503529732225	0.500508559990808	0.18210694168589978	2.748432077092872	0.005988104034243907	0.12415920310332923	ENST00000625297
513.2037167010723	-0.07041777060557697	0.17368163258506017	-0.4054416667870164	0.6851528886296887	0.9015600476910308	ENST00000618686
138.37816320073838	-0.22983565310460813	0.1988184326562773	-1.1560077706776526	0.24767797853692583	0.6327969670294333	ENST00000617299
1412.3966721586985	0.09055248578703351	0.11419968191894221	0.792931155896798	0.4278179339980293	0.7735604086773142	ENST00000612628
486.71917307557464	0.26316039087358684	0.31973974234147173	0.8230456087393103	0.41048205761342543	0.7629946873605888	ENST00000630362
44.74167514552627	0.3576710655171775	0.28487661035575296	1.255529771540454	0.2092865074787199	0.5934598997317581	ENST00000626371
218.693807697061	-0.036929168742777525	0.2165552804993485	-0.17052998503487715	0.8645933550588307	0.9619128960813537	ENST00000611771
242.51629363552743	-0.3254163435825779	0.14952125606199893	-2.1763885092541235	0.02952622227868349	0.2621455233393672	ENST00000612565
222.41503529732225	0.500508559990808	0.18210694168589978	2.748432077092872	0.005988104034243907	0.12415920310332923	ENST00000630852
118.79425799350653	0.06031202592281146	0.2623837672206864	0.22986187964930035	0.8181990988293578	0.9483800993109001	ENST00000621843
245.11146629961507	0.19284437616444589	0.18803997748852377	1.025549879020887	0.30510380288805833	0.6868820603672778	ENST00000621063
54.58491727739889	0.04572581978497673	1.9359643448192239	0.023619143558786207	0.9811564020586518	0.9950745741743952	ENST00000611547
1229.4621162054848	0.10541303314137715	0.09261847672652465	1.1381425917058763	0.2550609457587919	0.6420982205715872	ENST00000614336
180.6694655444904	0.2397183948394802	0.2820025588700033	0.8500575164992913	0.3952931095920501	0.7532772841488335	ENST00000612640
194.18560734266117	0.2040988511004852	0.24938303387315341	0.8184151420833959	0.41312017838258985	0.7639485959357674	ENST00000616361
53.77603606734896	-0.21399674517200917	0.2681459105302199	-0.7980608197561597	0.4248351966740288	0.7722506798689204	ENST00000612308
222.41503529732225	0.500508559990808	0.18210694168589978	2.748432077092872	0.005988104034243907	0.12415920310332923	ENST00000629607
69.73577497510244	0.8135525408976576	0.27404475372765313	2.968684967807009	0.002990770422457122	0.09046243842412778	ENST00000634579
324.47461009331823	-0.48338009659995035	0.16178267292897525	-2.987836013886114	0.0028096026080390783	0.08793464667876412	ENST00000635479
222.41503529732225	0.500508559990808	0.18210694168589978	2.748432077092872	0.005988104034243907	0.12415920310332923	ENST00000626065
58.75246417279194	0.047426882227975094	0.27676982036240844	0.17135857575032315	0.8639418247151691	0.9615297488315594	ENST00000612919
222.41503529732225	0.500508559990808	0.18210694168589978	2.748432077092872	0.005988104034243907	0.12415920310332923	ENST00000630768
222.41503529732225	0.500508559990808	0.18210694168589978	2.748432077092872	0.005988104034243907	0.12415920310332923	ENST00000627525
